"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"
"1,2-dilinoleoyl-GPC (18:2/18:2)"	5.69941970051685	5.07745875236783	NA	NA	5.5865895548964	NA	5.71725930941049	5.83665256121002	5.62009022771855	NA	5.29010810113357	NA	5.77752831508256	5.66893914983783	5.64800559922495	NA	5.68409546688501	5.43738268325887	NA	NA	NA	NA	5.67679051505494	NA	5.33082960397047	5.75274199625021	5.95209711237027	5.77052432695832	5.66596352692022	5.79450965628035	5.80758914238976	5.73237847882236	5.88393725228007	5.93146092192757	NA	5.83398428240459	6.04716852037923	5.78031515146571	NA	5.78595946136182	NA	5.76459975527101	NA	6.01826265562113	5.72422014522449	5.18487305849839	5.7583993647168	5.84810348169376
"1,2-dioleoyl-GPC (18:1/18:1)*"	7.46339130560742	7.26773880483665	7.40482725344924	7.2538448064766	7.45545016450056	7.41137949826407	7.47883380020342	7.63010766061173	7.23021398116744	7.33875422191835	7.49177642909647	7.5127407601418	7.45595112932784	7.44825488275653	7.43836827968793	7.51887228235467	7.50488731360395	7.54833044344959	7.58006972526142	7.42853597456136	7.36099564064885	7.53592987690191	7.48030753750229	7.58159725814854	7.34485140049418	7.48557186718142	7.51966986080545	7.60730100902584	7.40112229639226	7.51482874456485	7.35834072262373	7.43067922723321	7.48960581283631	7.71577507861069	7.50894375095464	7.51953309825757	7.30039394014248	7.53855332550795	7.34633677613815	7.5092904479783	7.6707152312821	7.68820254922541	7.54773282409322	7.86683155006987	7.46363221462711	6.9669079031911	7.66724612343591	7.73774557854967
"1,2-dioleoyl-GPE (18:1/18:1)"	6.58877519647378	6.1519276078494	6.25581744392387	6.25150900774369	6.38304893200435	6.28896560048223	6.50854533982521	6.65702246638129	6.1457410309981	6.3437824578801	6.37608983620844	6.43144080438352	6.50552520946584	6.34722303882758	6.39878519138183	6.58215635109375	6.51394423527621	6.6407884153968	6.58461952733192	6.365440060097	6.18547812498584	6.52820055216162	6.35922400542235	6.5953401123031	6.33956412461395	6.42087883975452	6.46962293098451	6.597947135233	6.34516408140891	6.40766482304203	6.31053379397724	6.50709559589354	6.42022152802784	6.66743007010474	6.4638132863967	6.59097116798306	6.22481317894644	6.41787258695819	6.16196811186591	6.3864015727883	6.57180569312669	6.6032380444943	6.51898298774475	6.75455251315883	6.32283576197019	5.92813611976724	6.55551063951328	6.65724053222919
"1,2-dioleoyl-GPI (18:1/18:1)"	5.69589301068015	5.6378978145639	5.70593124495439	5.60507221051683	5.70558919930623	5.729874799033	5.69003917388499	5.7464224482216	5.38422075751264	5.58862796234779	5.56560464010558	5.75729351712368	5.82558253947553	5.71515564261772	5.69198540467714	5.84216723244064	5.66582480283809	5.82647779651583	5.80910902658935	5.70819902182285	5.66304097489397	5.83354997069233	5.70998019782682	5.8525129304525	5.52388427493024	5.70141772598407	5.63680672997208	5.77115811815366	5.5028461894471	5.69514181318161	5.5573351342753	5.75844405515498	5.73465904097212	5.84121363817143	5.68503375433325	5.71694524163641	5.71939510037753	5.85561363623957	5.74943483221675	5.82491687032713	5.94532084079227	6.04510068833477	5.6129924798056	5.88320476014842	5.60008598640552	5.24424494964868	5.66326075549793	5.8267723543814
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*"	5.99520551312124	5.96877751510538	5.60056453225102	5.9196308119147	6.13317759115533	5.84833816838209	5.87157176808602	6.07650135979899	5.91125351594907	6.07843506653287	6.08662566567371	6.13017031433444	6.09207363248706	6.00885513846741	6.0192097887631	6.15475618629542	5.96800122168625	6.22241886447827	6.19368047346604	6.01743821363907	6.10359917822899	6.21093406977492	6.13524399466207	6.17207638031441	6.03099295882722	6.16807447392996	6.19789310158674	6.25262369206505	6.17871111224045	6.21886805688761	5.90616204391837	6.1229769471575	6.17661557016963	6.23925091553021	6.169455762579	6.31405080801331	6.06446922083552	6.18050034286623	6.16999606896024	6.17883455589427	6.25540518592535	6.19428422973205	6.2571496613553	6.49679214582569	5.89113866030872	5.70421917457165	6.27587384498506	6.43222345917851
"1,2-dipalmitoyl-GPC (16:0/16:0)"	6.86247176139808	6.61309961169813	6.85479527372272	6.62743058622917	6.82546506619903	6.71772915375625	6.83871890876574	7.05721674561302	6.591754586864	6.71019744400143	6.91763425589286	6.93968470227288	6.7958726516472	6.67866648735097	6.80982438527298	6.91551469961843	6.84654474433677	6.94545785073646	6.89344915722723	6.52818832534277	6.68006415327116	6.88388102477325	6.79135143010893	6.93032708161116	6.67381353152154	6.8535938834146	6.96921735898018	7.14375487574253	6.73906465897259	6.94344742356406	6.8458342892401	6.97625306594808	6.95798352855057	7.25671360981987	6.92431971492824	7.01294452013514	6.71924773527587	7.00269747715286	6.78302631901562	6.90722438040451	7.11766188553834	7.18753053465283	6.98988305053947	7.32044947988173	6.85986325799507	6.42525470837005	7.12021338296716	7.27567536420836
"1,2-distearoyl-GPC (18:0/18:0)"	NA	NA	NA	4.67622706399074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.64934459614742	4.56827214448959	4.58517862850352	4.70458802403381	NA	NA	NA	NA	4.63565461611812	4.94462083477879	4.64689362416775	4.614074228746	NA	NA	NA	NA	NA	4.97179984101209	5.25096131299417	5.28230482837057	4.81295344351413	NA	5.02907113550507	5.15677926037818
"1,2-distearoyl-GPG (18:0/18:0)"	5.32460753989325	NA	5.23054854221511	5.13720531153367	5.39274442415103	5.21865102163706	5.40160385329885	5.55013169648567	NA	NA	5.29248202296169	5.39829251269407	NA	NA	NA	5.49294328484129	NA	NA	5.56787059504261	5.32083562280183	NA	5.40235425134439	5.17460633150357	5.63270524504424	5.37097360090012	5.45513733883556	5.39108161264143	5.68589483399921	5.28216651044242	5.58640612333057	NA	5.54961378933174	5.57321402565326	5.76494760889664	5.72284772702811	5.5664068488982	NA	NA	NA	NA	5.32314480277071	5.59013489054443	5.61801251450175	5.86884772760247	5.58979773917464	NA	5.58284143963527	5.85333675758985
"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*"	5.15563052895822	NA	4.92207118876948	4.36501974281653	NA	4.68798352854794	5.33511474272044	5.47129904705242	NA	5.07936216439305	NA	NA	5.20099542105894	5.07748418614617	4.84984305885875	5.32300238643563	NA	5.31357407809408	5.39637198407864	4.89325673292471	4.57635286980054	5.2431323423937	5.1802090543841	NA	NA	NA	4.61061758311221	5.52461808138786	NA	5.05041456030172	NA	NA	5.07306917237262	5.46246538319398	5.05761666301984	NA	NA	5.23950718992048	NA	5.13543480247764	5.35193731379518	5.49996735948278	5.37941611729235	5.7199880335291	NA	NA	5.42156444375858	5.5799504250817
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	NA	NA	NA	NA	NA	4.99775323883155	NA	5.02968808306861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.78121665907969	NA	NA	5.1583082018918	5.08209928945681	5.00523629773766	4.9859381639521	5.25653254217926	NA	NA	5.21453390543683	NA	5.12970600074632	5.00046444666096	4.96356117978962	5.05012057181061	4.93392743326635	NA	5.19420064857729	4.95001903389999	5.59112250909737	5.52571970751157	5.51814924263812	NA	5.59851693542689	5.70079541108023
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	5.86064699449269	5.40312052117582	5.53872701672666	5.51743344089777	5.64958893428646	5.59776098313523	5.97909791345231	6.0932573927098	5.65227535748264	5.86885301420245	5.9403964397075	5.9226014302714	5.89833403079178	5.84426401470505	5.83581228369199	5.89734773361796	5.88690733518461	6.00728038271341	6.07620702509498	5.78315649342099	5.83165929193634	5.93268527951558	5.94087940742166	6.02884646263217	5.84221470109675	5.93074583768741	6.06315202098206	6.19892555187671	6.0041884851418	6.02693836257471	6.02095678588816	6.12712910521156	6.03209148618491	6.30123232975237	5.97482613151066	6.10176768870149	5.86842106309297	6.02693264809307	5.90038788689032	6.10847030744335	6.16175779375161	6.15236418637417	5.86020200617894	6.19363793159964	5.73090737966193	5.09363177682895	5.96990352083819	6.08220568502398
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	6.68652026318641	6.20997373032129	6.33306218388129	6.31184219392511	6.46520805736806	6.35029978160042	6.57911976185043	6.82608945179002	6.26034953371268	6.43740854014983	6.4868552137207	6.65322351576286	6.68763096830735	6.57377953560971	6.57975948117474	6.70030670131174	6.75191967771192	6.77393981012471	6.73824330201604	6.54516579310447	6.37119572931074	6.77024195168471	6.64795187523449	6.81843144181989	6.46717433440389	6.55548525869283	6.61436540687239	6.79828641726961	6.57747479538176	6.61524345944702	6.52090439133937	6.70185298901004	6.61739763320709	6.87810947965145	6.63322083714694	6.69058960292775	6.43892442309947	6.65980423839634	6.39265281825805	6.70529961818263	6.78053037386037	6.75921556535832	6.60048946050163	6.89556347548948	6.54644357874716	6.0274711116737	6.64923347904267	6.81446901614176
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	4.84115291243785	NA	NA	NA	NA	NA	4.88963780040667	4.78278067763749	NA	NA	4.9197630047515	NA	4.9605706585355	4.6532221646566	NA	4.65835487840419	4.96530520416906	NA	4.87600410588091	4.55339751012388	NA	4.88355355776756	4.81503952729234	4.89798427527064	NA	4.65991620006985	4.92326474818241	5.0370438315099	4.70976165674661	4.86679519611613	4.75813946308218	4.88704311215952	5.03326689860095	5.01536394742066	4.7489318944137	4.91085909523909	4.92315590699344	4.96157769662509	4.74671202251666	4.79547680494537	5.1468935801073	NA	5.0418504271176	5.377832404975	4.84993510095257	NA	5.22048989000932	5.31331240278281
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	5.78161824516057	5.44120637759369	5.59275395200771	5.52997801052466	5.6733453541821	5.58865931676284	5.81827407254812	5.9586274222108	5.37654593491414	5.558120315143	5.75647863844399	5.82808346183186	5.86853864336278	5.77181448921489	5.71377521926807	5.90618683912327	5.86678988440706	5.93121166680585	6.01361698939424	5.73166530385149	5.52038133378	5.9238944547846	5.79247363733791	5.96704974945586	5.46614814135905	5.69610028047026	5.7153497399656	5.91129347103611	5.61482131327761	5.69266629273708	5.59631993832273	5.75265603488233	5.73038897232716	5.97166125322804	5.66758368853819	5.79516927774807	5.59020630624262	5.85333858387209	5.4839337385848	5.79006056797832	5.97001847382658	5.94526222161198	5.89729272077566	6.20697016730641	5.71738670451329	5.19133921256393	5.96892728928152	6.1387430862997
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	5.78748031133372	5.24943317992518	5.49254109176014	5.54929514721292	5.59178226999641	5.45639792071402	5.76734216443463	5.82281380833949	5.18148915048512	5.62561079727563	5.77700247111239	5.6774545579638	5.67820870865422	5.61487297076152	5.59184007647063	5.86578894403394	5.75031318845813	5.85364285699109	5.91496004115569	5.62142556590045	5.43950953411968	5.82077007199069	5.73261487201219	6.03725433977108	5.58644326603791	5.71300221237703	5.62924441345259	5.85094566649351	5.43400651190182	5.65432192434138	5.38140391236529	5.57255796087217	5.83316943190731	5.94971243597394	5.73351263621279	5.72857614879953	5.49920166602315	5.69252438213325	5.30021057802161	5.63679470276355	5.88794346124853	5.95983909297593	5.79546011222592	6.01188199203086	5.6622581056298	5.0666315015025	5.76348489738764	5.94808956989105
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	5.36461665046383	4.92202961456991	5.21042286640736	5.04413192793099	5.33309848972046	5.11199132827442	5.46588081466259	5.52724182653027	5.02212718892906	5.33567850235657	5.42396309640694	5.40882993346999	5.48790019787014	5.44061473209077	5.32636044293956	5.49384268086972	5.54624768724283	5.52956765390725	5.58579337317989	5.30840218975036	5.31215195835901	5.47541111477538	5.42894752499173	5.55129992086179	5.25748417858923	5.37989807488846	5.47201005008457	5.64405336392328	5.38238450563861	5.51544860959612	5.45898514571101	5.47149560552998	5.46834733041216	5.66655448222088	5.44944137072586	5.52534028602517	5.38489079653055	5.5763448061163	5.31993636101659	5.57512777877124	5.74632588053417	5.70405952862315	5.59319521020215	5.91907390638499	5.40731950772861	NA	5.7711058892805	5.79455635727248
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	5.41693492906211	5.02365569284562	5.21902099239884	5.06103381652646	5.25144596913977	5.00864700491607	5.36632581383294	5.59958944214075	4.78489532323675	5.10203559151032	5.39356292001963	5.43919527711074	5.44142646536917	5.18335242297863	5.21982020714724	5.49535836974675	5.41226897879881	5.51029964494975	5.52331455819867	5.01954829203329	5.02237887611655	5.46379298527271	5.36243911853725	5.60244091762885	5.08627438729016	5.36525205398697	5.35339299376401	5.68203490870792	5.24645180052609	5.37652221060411	5.23333630144917	5.42645432764462	5.44452569036537	5.74033978972693	5.36312853480094	5.48926783803968	5.22635498170148	5.48314493287213	5.09585600520975	5.4871327168803	5.68524178842956	5.67139780269126	5.62399522233026	5.93154787321634	5.46096546120053	4.9717673996761	5.70555412440102	5.89760894949646
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	5.00482417621943	5.53423177578752	5.61599947218737	5.34312488026647	5.54835624585896	5.72201494101349	5.05238609538937	5.66021639619842	5.64742209398131	5.51094293112912	5.52745331202512	5.60412773151319	5.2023547932137	5.50584429418626	5.47900489724387	5.46088281500583	5.41256805770716	5.54187615991704	4.79091819521458	5.39546793077989	5.41235637146299	NA	5.4820542232183	5.42447981003392	5.59051638195769	5.70249343565468	5.61240129728051	5.67602473846395	5.59063789801438	5.7132720808739	4.99688801434235	5.14537356958342	5.72755833568922	5.19065939679238	5.74098368123105	5.67342458566641	5.47919655889301	5.59564610471412	5.54670796003043	5.30597656128151	5.66567384319439	5.70948705394806	6.02278292087097	5.97168396796859	5.95458112709149	5.120883091452	6.00997538687218	6.11730477813808
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	6.92011622718829	6.39395931816719	6.56794224364553	6.61568550363585	6.61667292333842	6.63798308390215	6.81734777119936	6.99750905307804	6.53013153808643	6.72882694574526	6.67793501307955	6.76795393724755	6.83873024143571	6.67678521324151	6.74450115981806	6.95614128622198	6.85646593880769	7.02848820829899	6.92264533702129	6.71405551430232	6.49144154064042	6.92524807734599	6.79580760573165	7.05057021623913	6.78578268900287	6.82928775189464	6.78184071769449	7.04973576520994	6.75195858184106	6.81848764544938	6.7243990115007	6.84336379438764	6.7960355016759	7.11453802863992	6.90388873387509	6.96396245414394	6.64929892568668	6.86699882166021	6.62031463097329	6.89009861576544	7.06605046176803	7.05323787331426	6.92677750080433	7.19856681028873	6.8268827459201	6.306273587864	6.97626985414043	7.11054732243597
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	4.82942600148345	NA	NA	4.63668844795328	NA	NA	4.8087104956748	4.84150337705787	NA	NA	5.08938576616846	NA	NA	NA	NA	NA	NA	NA	5.15533300043009	NA	NA	5.00374910417492	4.80541929285026	NA	NA	NA	NA	4.90434761830417	NA	NA	NA	NA	5.14685332192034	5.23988481883527	NA	NA	NA	4.9634667083873	NA	4.79227259242464	5.02419412460698	5.26799727654998	5.11320776982274	5.35869039514298	NA	NA	4.75890432622611	5.31545181991258
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	5.78828364900081	5.16865361290132	5.54474129909952	5.63406595677374	5.44932409309873	5.57142813798191	5.66622398350733	5.76032973355239	5.32156736394064	5.55437769495515	NA	5.56698399389873	5.65460292331355	5.47078963476029	5.41728066126998	5.76255853485031	5.61680098147796	5.71587052943886	5.79612732105555	5.32873015981008	5.26852883017962	5.76590314449699	5.54753596235755	5.92357505493251	5.61350143834303	5.64775645922699	5.58922666439827	5.80961627023402	5.4801550380074	5.64274835120112	5.22939767932264	5.50637377716829	NA	5.86589363670644	5.71573433182991	5.78143940920972	5.48097368136621	5.71798986654779	5.32208898684219	5.65351737798284	5.83994540087668	5.89439028524541	5.90201758527635	6.11351051256503	5.71248470571815	5.10955155029333	5.89823742320111	5.95901514296025
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	5.81711233011824	5.67725736923144	5.69886402355225	5.61709369391037	5.93733831976542	5.75479005151439	5.83344291811008	6.01858650220433	5.80824204109158	5.830234417074	5.77758485072489	5.80337311661165	5.46085876952302	5.5532638978698	5.45364546688137	5.54350557913264	5.47845682599835	5.59631333718303	5.66589417041813	5.42675192719115	5.49718129997638	5.58096942874117	5.71715020285389	5.61086023308366	5.82513454274796	5.83623927438732	5.84227902533805	5.9063959249771	5.94961539090489	5.86658385801227	5.84373905593421	5.66251607008218	5.81764799002648	5.90798556121846	5.91750866040797	5.8591443040923	5.79700771762111	5.80503709132069	5.68130275806958	5.84832338871082	5.96429640927961	5.74543395141353	6.1787951383076	6.30681753812208	6.18406821125638	5.48761202150373	6.26707781674043	6.25944885096024
"1-arachidonoyl-GPA (20:4)"	NA	4.97523874583353	4.91247182362771	5.21049509166437	NA	5.1228905589457	NA	5.02578496368249	5.1130973249135	4.9774720988299	5.37715866788661	NA	4.70081616928361	NA	5.014121342041	4.87928516080771	4.77936557566982	4.70212883828688	NA	4.94120324255545	4.73615737527313	NA	4.8946206267402	NA	5.47277692062849	5.51670588528363	5.40842314465973	5.32865069799358	5.20466251174822	5.28181711824183	5.06272108658811	5.10462707361338	5.47867757997438	5.08674411801565	5.32974355001123	5.38702301301757	5.21601275017886	5.42346214789422	5.2829119988616	4.9246255495381	5.33333843532829	5.28943286385079	4.85367388087155	5.03434765844685	NA	4.75705422908694	NA	4.84570562707715
"1-arachidonoyl-GPC (20:4n6)*"	5.51641240553928	5.71999465390965	5.82590948005477	5.79251145420308	5.74281151040473	5.74678360789473	5.9003212385132	5.84796852562442	5.89459626947417	5.91313327780108	5.92702474069426	5.93526687625851	5.88282041765423	5.85992508081445	5.86777615739322	5.90890195584703	5.75165625275649	5.798377831126	5.85087098107523	5.79875627179764	5.91082176662034	5.86988794737739	5.8854132417755	5.84057026527179	6.04772450909119	6.00705183757989	5.94902143193652	5.86358989885788	5.89796779632086	5.81302826244197	5.94278759403901	5.8367626203127	5.85989330102688	5.97140296334728	5.90203445546677	5.99550313145052	5.81311776101216	6.02001677704135	5.93003059452101	5.97325257984744	5.97238198262477	5.93024942186578	5.54798503506111	5.72868323377712	5.50392408218885	4.76239344095995	5.63147420914836	5.61925720411328
"1-arachidonoyl-GPE (20:4n6)*"	6.19537430872878	6.37589011945778	6.34344680215911	6.58435497419761	6.32553454532145	6.52670478398292	6.32417067697884	6.43240434075074	6.4242924906265	6.4205191400714	6.2003746467483	6.17242485731859	6.18545092360068	6.17705865750151	6.323529712314	6.25103270587744	6.16929198078186	6.37588810903275	6.16834837176233	6.2820417597789	6.29696361033136	6.26546948366684	6.06911322178737	5.92476087900986	6.9330401089549	6.88486189027662	6.70803734482273	6.64114271060959	6.73830273028942	6.63165934068329	6.8053080674623	6.63709378071443	6.72743397141444	6.79306922049623	6.76441810378742	6.80924151947228	6.63096273465896	6.69169270059237	6.68518261645742	6.72206897241014	6.58290805089805	6.55612138633585	6.27069234214378	6.35011363769075	6.24203055862916	5.63352198160082	6.39834735951472	6.3399758556518
