"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"
"1,2-dilinoleoyl-GPC (18:2/18:2)"	500518	119525	NA	NA	386002	NA	521506	686519	416956	NA	195033	NA	599140	466594	444637	NA	483165	273768	NA	NA	NA	NA	475106	NA	214205	565903	895565	589555	463408	623031	642080	539981	765486	854006	NA	682314	1114727	602997	NA	610885	NA	581567	NA	1042948	529932	153064	573323	704861
"1,2-dioleoyl-GPC (18:1/18:1)*"	29066404	18524172	25399622	17940924	28539750	25785734	30118532	42668528	16990806	21814950	31029618	32564226	28572690	28070806	27439000	33027240	31980652	35345200	38025044	26824768	22961256	34350248	30220910	38159024	22123376	30589464	33087950	40485640	25183860	32721164	22821318	26957476	30874918	51972676	32280760	33077532	19970730	34558376	22199172	32306540	46850608	48775592	35296596	73592160	29082532	9266333	46477860	54669560
"1,2-dioleoyl-GPE (18:1/18:1)"	3879495	1418821	1802260	1784469	2415733	1945206	3225116	4539651	1398753	2206899	2377332	2700479	3202766	2224452	2504870	3820818	3265459	4373090	3842550	2319744	1532774	3374431	2286778	3938584	2185567	2635596	2948648	3962298	2213931	2556612	2044249	3214368	2631610	4649755	2909466	3899161	1678082	2617415	1452005	2434454	3730832	4010865	3303566	5682671	2102983	847493	3593442	4541931
"1,2-dioleoyl-GPI (18:1/18:1)"	496470	434408	508079	402784	507679	536877	489823	557728	242226	387818	367794	571865	669241	518986	492023	695292	463260	670622	644331	510739	460300	681632	512838	712054	334106	502826	433318	590416	318307	495612	360857	573382	542824	693767	484210	521129	524077	717156	561610	668216	881700	1109432	410197	764196	398186	175487	460533	671077
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*"	989021	930631	398625	831057	1358869	705242	743998	1192618	815180	1197940	1220747	1349492	1236157	1020599	1045225	1428092	928969	1668856	1561998	1040970	1269402	1625302	1365350	1486197	1073972	1472565	1577223	1789055	1509076	1655267	805679	1327324	1501812	1734806	1477256	2060871	1160030	1515306	1479095	1509505	1800550	1564171	1807797	3139006	778285	506080	1887443	2705350
"1,2-dipalmitoyl-GPC (16:0/16:0)"	7285708	4102982	7158059	4240632	6690600	5220705	6897932	11408190	3906201	5130946	8272452	8703315	6249894	4771627	6453932	8232177	7023357	8819782	7824366	3374336	4787008	7653869	6185167	8517793	4718604	7138285	9315740	13923707	5483586	8779048	7011877	9467887	9077861	18059828	8400782	10302545	5238992	10062305	6067731	8076522	13111787	15400348	9769741	20914596	7242079	2662286	13189046	18865806
"1,2-distearoyl-GPC (18:0/18:0)"	NA	NA	NA	47449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44601	37006	38475	50651	NA	NA	NA	NA	43217	88028	44350	41122	NA	NA	NA	NA	NA	93713	178222	191560	65006	NA	106923	143476
"1,2-distearoyl-GPG (18:0/18:0)"	211158	NA	170039	137153	247027	165444	252118	354921	NA	NA	196102	250203	NA	NA	NA	311131	NA	NA	369718	209332	NA	252554	149488	429245	234949	285192	246083	485171	191499	385839	NA	354498	374295	582033	528260	368474	NA	NA	NA	NA	210448	389166	414966	739346	388864	NA	382685	713406
"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*"	143097	NA	83574	23175	NA	48751	216329	296005	NA	120050	NA	NA	158853	119532	70769	210379	NA	205861	249099	78209	37701	175038	151429	NA	NA	NA	40796	334671	NA	112309	NA	NA	118323	290045	114187	NA	NA	173583	NA	136595	224873	316204	239561	524793	NA	NA	263976	380146
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	NA	NA	NA	NA	NA	99484	NA	107075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60425	NA	NA	143982	120809	101213	96814	180523	NA	NA	163883	NA	134805	100107	91952	112233	85887	NA	156387	89129	390052	335521	329723	NA	396750	502106
