X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 X10uM_10h X10uM_10h.1 X10uM_10h.2 X10uM_10h.3 X10uM_10h.4 X10uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5
2.334444e-06 2.302931e-06 2.295735e-06 2.309287e-06 2.290482e-06 2.299270e-06 2.066667e-06 2.076944e-06 2.066525e-06 2.090485e-06 2.080085e-06 2.068785e-06 1.292058e-06 1.282051e-06 1.271766e-06 1.278526e-06 1.285838e-06 1.264655e-06 1.814708e-06 1.811641e-06 1.818776e-06 1.802234e-06 1.848102e-06 1.832736e-06 2.210555e-06 2.189540e-06 2.199034e-06 2.179515e-06 2.183291e-06 2.174622e-06 2.149423e-06 2.137734e-06 2.149355e-06 2.143455e-06 2.159503e-06 2.141344e-06 8.524243e-07 8.397020e-07 8.469449e-07 8.458975e-07 8.427665e-07 8.307741e-07 1.019374e-06 1.027982e-06 1.002152e-06 1.031821e-06 1.025188e-06 1.002243e-06 1.282196e-06 1.298712e-06 1.286524e-06 1.285769e-06 1.276602e-06 1.287091e-06
2.341601e-06 2.313086e-06 2.306733e-06 2.316038e-06 2.303654e-06 2.290238e-06 2.091233e-06 2.094485e-06 2.084287e-06 2.096350e-06 2.083835e-06 2.078816e-06 1.293126e-06 1.278671e-06 1.284259e-06 1.284503e-06 1.293354e-06 1.265632e-06 1.830776e-06 1.822581e-06 1.827665e-06 1.819809e-06 1.840436e-06 1.825931e-06 2.216188e-06 2.209528e-06 2.197440e-06 2.175512e-06 2.190944e-06 2.208290e-06 2.147717e-06 2.169008e-06 2.146088e-06 2.154403e-06 2.174210e-06 2.175334e-06 8.509083e-07 8.455227e-07 8.483225e-07 8.486153e-07 8.531216e-07 8.435477e-07 1.032141e-06 1.027448e-06 1.020016e-06 1.030151e-06 1.032259e-06 1.020084e-06 1.295127e-06 1.307159e-06 1.298565e-06 1.296303e-06 1.284963e-06 1.291968e-06
          NA 2.177430e-06 2.218427e-06 2.241284e-06 2.052773e-06 2.152961e-06 2.004498e-06 1.976757e-06 2.001300e-06 1.988880e-06 1.963645e-06 1.996763e-06 1.241192e-06 1.204702e-06 1.151286e-06 1.178665e-06 1.247442e-06           NA 1.769923e-06 1.747722e-06 1.734145e-06 1.755714e-06 1.637803e-06 1.720950e-06 2.006830e-06 2.135178e-06 2.127706e-06 2.119487e-06 2.113502e-06 2.023977e-06 2.054792e-06 2.091922e-06 2.077881e-06 2.081665e-06 2.088153e-06 2.094481e-06 7.853547e-07 8.056931e-07 8.134607e-07 8.123652e-07 8.054426e-07 8.083680e-07 9.876321e-07 9.789721e-07 9.749749e-07           NA 9.436718e-07 9.601566e-07 1.220198e-06 1.236065e-06 1.232560e-06 1.133077e-06 1.197254e-06 1.228552e-06
2.297748e-06 2.266303e-06 2.272828e-06 2.260880e-06 2.246501e-06 2.259626e-06 2.043815e-06 2.032871e-06 2.035829e-06 2.041949e-06 2.032001e-06 2.036551e-06 1.172405e-06 1.161753e-06 1.197323e-06 1.177178e-06 1.179673e-06 1.186926e-06 1.683850e-06 1.675450e-06 1.712768e-06 1.656300e-06 1.652657e-06 1.698401e-06 2.059315e-06 2.068477e-06 2.057822e-06 2.035483e-06 2.017505e-06 2.042711e-06 2.005356e-06 2.019656e-06 2.049543e-06 2.034522e-06 2.025986e-06 2.066124e-06           NA           NA           NA           NA           NA           NA           NA           NA 8.972937e-07           NA           NA           NA           NA           NA           NA           NA           NA 1.121105e-06
2.158207e-06 2.173333e-06 2.172691e-06 2.167438e-06 2.168678e-06 2.170434e-06 1.938132e-06 1.933838e-06 1.919979e-06 1.931386e-06 1.942552e-06 1.933368e-06 1.198798e-06 1.201418e-06 1.205761e-06 1.206139e-06 1.187967e-06 1.186487e-06 1.722720e-06 1.715534e-06 1.706588e-06 1.720727e-06 1.689289e-06 1.723876e-06 2.086312e-06 2.070411e-06 2.058181e-06 2.062180e-06 2.062944e-06 2.050747e-06 2.016975e-06 2.026788e-06 2.021188e-06 2.039322e-06 2.048141e-06 2.004404e-06 7.960104e-07 7.939639e-07 7.984556e-07 7.886832e-07 7.956357e-07 7.908910e-07 9.693792e-07 9.549477e-07 9.578609e-07 9.652823e-07 9.670761e-07 9.623110e-07 1.208902e-06 1.209465e-06 1.206043e-06 1.215756e-06 1.196212e-06 1.207879e-06
2.676205e-06 2.679355e-06 2.674453e-06 2.676497e-06 2.677374e-06 2.675206e-06 2.406386e-06 2.406002e-06 2.404834e-06 2.403192e-06 2.404274e-06 2.406341e-06 1.477983e-06 1.478089e-06 1.482261e-06 1.480596e-06 1.477720e-06 1.478010e-06 2.108378e-06 2.107935e-06 2.105194e-06 2.102790e-06 2.108347e-06 2.106434e-06 2.548623e-06 2.545327e-06 2.541220e-06 2.540535e-06 2.542394e-06 2.544477e-06 2.497923e-06 2.501886e-06 2.498028e-06 2.501176e-06 2.501891e-06 2.502223e-06 9.799847e-07 9.786791e-07 9.747815e-07 9.787904e-07 9.782035e-07 9.774807e-07 1.176837e-06 1.174957e-06 1.184094e-06 1.183813e-06 1.185317e-06 1.183022e-06 1.479085e-06 1.489558e-06 1.491810e-06 1.489780e-06 1.486403e-06 1.487652e-06
2.388537e-06 2.409878e-06 2.433854e-06 2.425240e-06 2.423437e-06 2.398367e-06 2.182662e-06 2.152606e-06 2.189502e-06 2.140620e-06 2.185321e-06 2.170147e-06 1.325858e-06 1.336478e-06 1.328349e-06 1.325092e-06 1.322762e-06 1.345256e-06 1.916914e-06 1.877654e-06 1.879918e-06 1.883167e-06 1.894209e-06 1.879023e-06 2.317503e-06 2.291961e-06 2.304028e-06 2.309081e-06 2.309374e-06 2.312358e-06 2.266157e-06 2.245574e-06 2.270958e-06 2.262295e-06 2.267282e-06 2.244831e-06 8.645703e-07 8.881464e-07 8.820410e-07 8.893946e-07 8.898375e-07 8.899521e-07 1.058604e-06 1.067702e-06 1.074657e-06 1.074661e-06 1.076414e-06 1.078711e-06 1.310870e-06 1.334916e-06 1.330071e-06 1.337821e-06 1.351579e-06 1.344236e-06
2.341279e-06 2.369572e-06 2.380860e-06 2.366087e-06 2.392703e-06 2.392890e-06 2.128581e-06 2.128302e-06 2.124844e-06 2.116204e-06 2.142717e-06 2.139636e-06 1.367154e-06 1.381410e-06 1.377630e-06 1.372529e-06 1.375855e-06 1.386042e-06 1.934948e-06 1.931502e-06 1.953134e-06 1.947717e-06 1.955601e-06 1.960322e-06 2.362009e-06 2.351862e-06 2.359454e-06 2.352577e-06 2.368754e-06 2.367408e-06 2.307711e-06 2.305838e-06 2.305218e-06 2.300328e-06 2.319412e-06 2.310713e-06 9.381177e-07 9.409777e-07 9.342350e-07 9.370468e-07 9.428576e-07 9.437790e-07 1.112549e-06 1.119901e-06 1.137724e-06 1.134524e-06 1.139347e-06 1.141024e-06 1.411723e-06 1.414222e-06 1.420114e-06 1.407374e-06 1.423502e-06 1.416438e-06
2.385486e-06 2.386206e-06 2.391196e-06 2.396681e-06 2.378312e-06 2.377954e-06 2.146677e-06 2.155244e-06 2.147535e-06 2.157097e-06 2.148929e-06 2.153261e-06 1.299519e-06 1.285886e-06 1.304227e-06 1.296734e-06 1.293710e-06 1.294744e-06 1.849587e-06 1.848647e-06 1.865817e-06 1.835406e-06 1.836028e-06 1.857323e-06 2.244898e-06 2.238765e-06 2.250924e-06 2.232737e-06 2.232177e-06 2.254913e-06 2.210691e-06 2.200086e-06 2.214862e-06 2.219923e-06 2.209272e-06 2.237528e-06 8.176812e-07 8.158711e-07 8.324930e-07 8.246876e-07 8.160440e-07 8.322240e-07 1.000176e-06 1.002015e-06 1.013417e-06 9.953323e-07 1.000477e-06 1.003129e-06 1.285016e-06 1.283728e-06 1.295017e-06 1.279699e-06 1.276687e-06 1.301217e-06
2.255732e-06 2.228526e-06 2.218411e-06 2.230596e-06 2.223781e-06 2.206049e-06 2.003648e-06 1.999517e-06 1.988780e-06 2.009587e-06 2.010595e-06 1.987988e-06 1.220439e-06 1.208655e-06 1.201573e-06 1.214622e-06 1.217176e-06 1.193405e-06 1.728645e-06 1.721594e-06 1.739029e-06 1.709967e-06 1.723490e-06 1.723417e-06 2.104191e-06 2.085817e-06 2.092678e-06 2.089348e-06 2.073498e-06 2.083524e-06 2.034838e-06 2.049742e-06 2.033050e-06 2.060010e-06 2.062330e-06 2.070856e-06 7.644689e-07 7.645646e-07 7.569836e-07 7.584783e-07 7.579549e-07 7.635911e-07 9.215125e-07 9.322392e-07 9.101534e-07 9.202178e-07 9.258307e-07 9.185089e-07 1.200186e-06 1.202849e-06 1.192717e-06 1.186391e-06 1.170215e-06 1.199780e-06
2.313573e-06 2.284850e-06 2.261059e-06 2.286803e-06 2.263495e-06 2.250429e-06 2.035498e-06 2.034263e-06 2.043657e-06 2.052468e-06 2.049571e-06 2.031054e-06 1.260364e-06 1.253030e-06 1.258375e-06 1.260258e-06 1.271596e-06 1.243303e-06 1.777301e-06 1.785813e-06 1.800394e-06 1.787476e-06 1.803639e-06 1.801374e-06 2.171624e-06 2.168008e-06 2.139652e-06 2.144939e-06 2.152570e-06 2.159529e-06 2.107942e-06 2.115127e-06 2.096682e-06 2.126697e-06 2.123301e-06 2.120636e-06 8.393988e-07 8.314340e-07 8.232605e-07 8.366116e-07 8.341688e-07 8.272381e-07 1.006632e-06 1.009523e-06 1.002510e-06 1.017459e-06 1.007277e-06 9.927425e-07 1.265666e-06 1.275384e-06 1.274661e-06 1.267833e-06 1.287723e-06 1.266937e-06
2.284804e-06 2.292911e-06 2.212858e-06 2.243154e-06 2.223898e-06 2.233266e-06 2.006491e-06 1.999078e-06 2.020954e-06 2.029278e-06 2.009307e-06 2.032353e-06 1.262089e-06 1.237152e-06 1.268274e-06 1.245709e-06 1.255980e-06 1.229432e-06 1.777543e-06 1.775040e-06 1.783412e-06 1.774461e-06 1.781118e-06 1.795135e-06 2.154891e-06 2.118260e-06 2.133179e-06 2.112170e-06 2.122198e-06 2.112276e-06 2.082769e-06 2.098061e-06 2.071414e-06 2.114345e-06 2.114869e-06 2.108304e-06 8.367391e-07 8.182247e-07 8.267098e-07 8.253379e-07 8.266791e-07 8.057014e-07 9.983567e-07 1.002014e-06 9.956538e-07 1.001925e-06 1.000104e-06 9.832998e-07 1.257662e-06 1.263464e-06 1.261321e-06 1.254455e-06 1.311153e-06 1.254575e-06
2.488795e-06 2.464236e-06 2.454472e-06 2.462527e-06 2.458839e-06 2.447078e-06 2.221678e-06 2.218947e-06 2.216115e-06 2.226553e-06 2.211718e-06 2.215258e-06 1.374834e-06 1.365864e-06 1.369617e-06 1.366568e-06 1.369533e-06 1.353905e-06 1.947423e-06 1.944266e-06 1.947621e-06 1.939542e-06 1.952229e-06 1.950189e-06 2.352654e-06 2.349814e-06 2.336035e-06 2.325978e-06 2.337981e-06 2.341328e-06 2.294398e-06 2.302259e-06 2.289531e-06 2.301240e-06 2.309666e-06 2.309839e-06 9.068536e-07 8.995768e-07 9.055699e-07 9.053040e-07 9.021563e-07 8.954894e-07 1.095199e-06 1.093260e-06 1.086542e-06 1.094805e-06 1.095403e-06 1.087070e-06 1.377023e-06 1.384667e-06 1.383444e-06 1.374241e-06 1.372860e-06 1.370721e-06
2.244148e-06 2.221178e-06 2.194780e-06 2.196180e-06 2.166423e-06 2.126053e-06 1.924651e-06 1.985711e-06 1.909983e-06 2.001240e-06 1.969162e-06 1.966467e-06 1.237868e-06 1.218077e-06 1.204741e-06 1.229489e-06 1.230147e-06 1.193905e-06 1.737744e-06 1.716929e-06 1.738643e-06 1.728703e-06 1.763754e-06 1.744849e-06 2.101729e-06 2.107580e-06 2.094424e-06           NA 2.075110e-06 2.097311e-06 1.999880e-06 2.041359e-06 2.011545e-06 2.041889e-06 2.051263e-06 2.070839e-06 8.213260e-07 8.038423e-07 7.975721e-07 7.887521e-07 8.123237e-07 7.890534e-07 9.791702e-07 9.830113e-07 9.672387e-07 9.794555e-07 9.815553e-07           NA 1.229487e-06 1.242473e-06 1.238551e-06 1.231297e-06 1.215048e-06 1.224123e-06
2.228989e-06 2.158220e-06 2.160972e-06 2.195033e-06           NA           NA 1.946323e-06 1.961927e-06 1.966121e-06 1.977721e-06 1.970993e-06 1.948582e-06 1.230193e-06 1.199731e-06 1.190118e-06 1.214942e-06 1.228881e-06 1.177701e-06 1.655734e-06 1.669380e-06 1.713984e-06 1.712327e-06 1.723114e-06 1.715510e-06 2.083999e-06 2.083776e-06 2.030379e-06 2.034589e-06 2.039353e-06 2.021900e-06           NA 2.029009e-06           NA 2.051415e-06 2.009457e-06 2.018214e-06           NA 8.013957e-07           NA 8.001258e-07 8.147070e-07 7.884304e-07 9.727372e-07 9.643268e-07 9.579296e-07 9.723991e-07 9.595858e-07 9.582883e-07 1.198696e-06 1.232334e-06 1.200371e-06 1.227510e-06 1.192180e-06 1.204496e-06
2.273312e-06 2.249667e-06 2.268956e-06 2.240831e-06 2.230012e-06 2.268056e-06 2.021060e-06 2.034652e-06 2.088263e-06 1.998535e-06 2.020259e-06 2.100584e-06 1.233817e-06 1.226466e-06 1.250976e-06 1.219252e-06 1.223754e-06 1.246776e-06 1.751185e-06 1.743975e-06 1.783074e-06 1.761932e-06 1.714753e-06 1.741734e-06 2.171568e-06 2.147895e-06 2.112718e-06 2.125208e-06 2.115665e-06 2.132937e-06 2.094501e-06 2.080225e-06 2.151962e-06 2.091869e-06 2.091979e-06 2.180141e-06 7.317808e-07 7.978728e-07 8.218022e-07 7.918243e-07 7.909963e-07 8.131042e-07 9.497232e-07 9.718780e-07 9.630292e-07 9.477153e-07 9.319794e-07 9.546570e-07 1.170685e-06 1.209469e-06 1.239821e-06 1.221314e-06 1.225840e-06 1.219931e-06
2.430230e-06 2.420876e-06 2.395447e-06 2.424529e-06 2.416809e-06 2.410834e-06 2.165130e-06 2.171055e-06 2.173456e-06 2.180740e-06 2.159229e-06 2.165702e-06 1.324889e-06 1.319791e-06 1.332461e-06 1.330787e-06 1.328342e-06 1.315688e-06 1.887877e-06 1.897265e-06 1.883382e-06 1.885072e-06 1.888821e-06 1.882736e-06 2.296015e-06 2.290238e-06 2.286131e-06 2.277035e-06 2.274670e-06 2.286609e-06 2.250003e-06 2.245511e-06 2.242590e-06 2.260314e-06 2.250836e-06 2.260635e-06 8.616282e-07 8.618804e-07 8.637927e-07 8.641450e-07 8.611207e-07 8.618814e-07 1.045863e-06 1.041342e-06 1.044461e-06 1.048545e-06 1.041343e-06 1.036470e-06 1.335106e-06 1.331210e-06 1.333772e-06 1.329472e-06 1.326391e-06 1.331533e-06
2.409056e-06 2.381558e-06 2.358192e-06 2.378291e-06 2.367004e-06 2.362721e-06 2.144216e-06 2.136888e-06 2.131189e-06 2.142804e-06 2.138528e-06 2.137461e-06 1.323350e-06 1.313807e-06 1.316080e-06 1.324601e-06 1.323436e-06 1.302277e-06 1.876761e-06 1.873851e-06 1.880735e-06 1.874830e-06 1.885317e-06 1.881292e-06 2.266227e-06 2.265514e-06 2.244589e-06 2.242596e-06 2.257932e-06 2.255073e-06 2.207214e-06 2.214424e-06 2.210824e-06 2.224860e-06 2.212299e-06 2.222427e-06 8.779664e-07 8.693702e-07 8.707874e-07 8.701947e-07 8.681409e-07 8.626803e-07 1.052735e-06 1.052851e-06 1.046847e-06 1.058228e-06 1.055227e-06 1.047944e-06 1.326160e-06 1.340503e-06 1.333664e-06 1.325384e-06 1.319418e-06 1.322629e-06
2.295332e-06 2.292728e-06 2.261733e-06 2.267647e-06 2.264428e-06 2.205041e-06 2.058738e-06 1.994676e-06 2.047675e-06 2.039149e-06 2.028354e-06 2.047073e-06 1.258099e-06 1.236554e-06 1.273405e-06 1.255471e-06 1.260035e-06 1.251332e-06 1.799747e-06 1.786964e-06 1.776406e-06 1.787538e-06 1.801742e-06 1.775723e-06 2.177883e-06 2.163273e-06 2.129613e-06 2.108838e-06 2.139661e-06 2.163921e-06 2.101448e-06 2.128995e-06 2.064246e-06 2.126228e-06 2.134628e-06 2.115795e-06 8.367025e-07 8.212064e-07 8.304242e-07 8.386617e-07 8.359319e-07 8.287067e-07 1.010555e-06 9.958198e-07 1.016669e-06 1.003041e-06 1.005554e-06 1.011158e-06 1.268398e-06 1.268862e-06 1.276247e-06 1.268568e-06 1.308984e-06 1.249222e-06
2.446347e-06 2.425736e-06 2.424949e-06 2.425279e-06 2.416200e-06 2.408947e-06 2.181656e-06 2.176583e-06 2.177769e-06 2.187938e-06 2.178171e-06 2.176378e-06 1.348797e-06 1.344107e-06 1.342950e-06 1.344079e-06 1.350203e-06 1.336332e-06 1.912235e-06 1.906506e-06 1.922044e-06 1.907200e-06 1.920017e-06 1.909106e-06 2.314393e-06 2.305996e-06 2.299920e-06 2.297191e-06 2.296317e-06 2.303073e-06 2.253258e-06 2.267751e-06 2.256595e-06 2.266713e-06 2.265277e-06 2.262808e-06 8.892486e-07 8.868078e-07 8.836888e-07 8.898612e-07 8.885780e-07 8.793354e-07 1.071617e-06 1.070802e-06 1.068700e-06 1.077734e-06 1.078311e-06 1.065509e-06 1.353740e-06 1.356659e-06 1.357410e-06 1.350984e-06 1.344197e-06 1.347245e-06
