X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
0.8725031 0.8720545 0.8714777 0.8761527 0.8753442 0.8778509 0.8659830 0.8742250 0.8761988 0.8812306 0.8692976 0.8759191 0.8667799 0.8710285 0.8744590 0.8873796 0.8755789 0.8761909 0.8783541 0.8800006 0.8770487 0.8792465 0.8755980 0.8739979 0.8633463 0.8772880 0.8660708 0.8755989 0.8848359 0.8858248 0.8778165 0.8957999 0.8729502 0.8430401 0.8846394 0.8886144 0.8825244 0.8848728 0.8845014 0.8743005 0.8740526 0.8913183 0.8810314 0.8856609 0.8769341 0.8803855 0.8712816 0.8863293 0.8713370 0.8822998 0.8670123 0.8712903 0.8666572 0.8678011 0.8858502 0.8938769 0.8841565 0.8903353 0.8973708 0.9001788
0.8132824 0.8025838 0.8060975 0.8183682 0.8138440 0.8222196 0.8020594 0.8075945 0.8108790 0.8194088 0.8024429 0.8066998 0.8000661 0.8133872 0.8075500 0.8239585 0.8104888 0.8189494 0.8047088 0.8094465 0.8092639 0.8207256 0.8094718 0.8142108 0.7941263 0.8073911 0.7897194 0.8052562 0.8176847 0.8197570 0.8141798 0.8295966 0.8009119 0.7729182 0.8166065 0.8232942 0.8167413 0.8175752 0.8141797 0.8058919 0.8067884 0.8260244 0.8110170 0.8189398 0.8027150 0.8144093 0.7979083 0.8177830 0.7967079 0.8152269 0.7928008 0.8020126 0.7939972 0.7953706 0.8142651 0.8234193 0.8131876 0.8258362 0.8274593 0.8305294
0.7653394 0.7570281 0.7552638 0.7665740 0.7532631 0.7654061 0.7422446 0.7559829 0.7510331 0.7612630 0.7405874 0.7555045 0.7448666 0.7603052 0.7585076 0.7665031 0.7547330 0.7571640 0.7625048 0.7641710 0.7631760 0.7627640 0.7633049 0.7683018 0.7573501 0.7675724 0.7596252 0.7652897 0.7741753 0.7814035 0.7491945 0.7696140 0.7481947 0.7196830 0.7530666 0.7654281 0.7599688 0.7612545 0.7514301 0.7456895 0.7528161 0.7649228 0.7705455 0.7679063 0.7557359 0.7704589 0.7596352 0.7714148 0.7629271 0.7778031 0.7631270 0.7677614 0.7651628 0.7638573 0.7647053 0.7695787 0.7624961 0.7742449 0.7744442 0.7791260
0.7847651 0.7787917 0.7795395 0.7892109 0.7758289 0.7939592 0.7803888 0.7901496 0.7922441 0.7960623 0.7908979 0.7937113 0.7713054 0.7869626 0.7907506 0.7951325 0.7902469 0.8003081 0.7702858 0.7998789 0.7942603 0.7986319 0.7854447 0.7874271 0.7827928 0.7910236 0.7902849 0.7909066 0.7962554 0.7919911 0.7963765 0.8126990 0.7701992 0.7561962 0.7976742 0.8083611 0.7987990 0.8001219 0.8021348 0.7930714 0.7971867 0.8090824 0.7877167 0.7878147 0.7933268 0.7864672 0.7701034 0.8007496 0.7819550 0.7843879 0.7630579 0.7857486 0.7756113 0.7800888 0.8087218 0.8087852 0.8058105 0.8149639 0.7979268 0.8168788
0.8322452 0.8246898 0.8331359 0.8398245 0.8354715 0.8417009 0.8243741 0.8359184 0.8431840 0.8539265 0.8285996 0.8415752 0.8354264 0.8436222 0.8424834 0.8607400 0.8403771 0.8459004 0.8374831 0.8403389 0.8425843 0.8477179 0.8422326 0.8453113 0.8273207 0.8452654 0.8314235 0.8393036 0.8523374 0.8565797 0.8444699 0.8645377 0.8363155 0.8078903 0.8524930 0.8618733 0.8536808 0.8574323 0.8533519 0.8418990 0.8402951 0.8619750 0.8534238 0.8574344 0.8423313 0.8543148 0.8351021 0.8599572 0.8467062 0.8625752 0.8439492 0.8458947 0.8434815 0.8440578 0.8576704 0.8675895 0.8496285 0.8575567 0.8648036 0.8689862
0.7707294 0.7667298 0.7661013 0.7706567 0.7698872 0.7786779 0.7665775 0.7731093 0.7826985 0.7923164 0.7784543 0.7800967 0.7796655 0.7872570 0.7804679 0.7994255 0.7763253 0.7854557 0.7808092 0.7863741 0.7827576 0.7897469 0.7792788 0.7858006 0.7685213 0.7800963 0.7708806 0.7859325 0.7897046 0.7890420 0.7679126 0.7919458 0.7582234 0.7070275 0.7759673 0.7840611 0.7844718 0.7877321 0.7757277 0.7686793 0.7655928 0.7839548 0.7755576 0.7814922 0.7712245 0.7755481 0.7644593 0.7798103 0.7657686 0.7709543 0.7597892 0.7690264 0.7571561 0.7529295 0.7650569 0.7801423 0.7576091 0.7706691 0.7756076 0.7785285
0.8252723 0.8178151 0.8182100 0.8260947 0.8294273 0.8308413 0.8107146 0.8166048 0.8204882 0.8323995 0.8180592 0.8205458 0.8143078 0.8261949 0.8206872 0.8374691 0.8217245 0.8254644 0.8170913 0.8258576 0.8257274 0.8307987 0.8231466 0.8273162 0.8088133 0.8234615 0.8056811 0.8264182 0.8312637 0.8298963 0.8195761 0.8385698 0.8160054 0.7801351 0.8227716 0.8334320 0.8307133 0.8310155 0.8236688 0.8190600 0.8155736 0.8348039 0.8217910 0.8314785 0.8196154 0.8264635 0.8106385 0.8293700 0.8154767 0.8285970 0.8094182 0.8223521 0.8094087 0.8085197 0.8195507 0.8288501 0.8199404 0.8332290 0.8363906 0.8364929
0.6955316 0.6677538 0.6820876 0.6682326 0.6959459 0.6820876 0.6847876 0.6683781 0.6922532 0.7021757 0.6729989 0.6872431 0.6774372 0.6890462 0.7018500 0.7003025 0.6765959 0.6911575 0.6952595 0.7027827 0.6986688 0.6943567 0.6912634 0.6890697 0.6922436 0.6956198 0.6763929 0.6808318 0.7115452 0.6915026 0.7025900 0.7306073 0.6857359 0.7127073 0.7177113 0.7253654 0.7101225 0.7087025 0.7106355 0.6992866 0.6989285 0.7286968 0.6986403 0.7108055 0.6976888 0.6886227 0.6874379 0.7024957 0.6884556 0.6953781 0.6708298 0.6862097 0.6853105 0.6853105 0.7185158 0.7308885 0.7134558 0.7166925 0.7190857 0.7308507
0.7685300 0.7613124 0.7569232 0.7713072 0.7684005 0.7731434 0.7376814 0.7555776 0.7570428 0.7716825 0.7493359 0.7553157 0.7479025 0.7598684 0.7581841 0.7760952 0.7533979 0.7630661 0.7611666 0.7698825 0.7595416 0.7718867 0.7632055 0.7682031 0.7474278 0.7674036 0.7390922 0.7626831 0.7759757 0.7741710 0.7706527 0.7928797 0.7571976 0.7152794 0.7758963 0.7880795 0.7743601 0.7746031 0.7726880 0.7699938 0.7633554 0.7861101 0.7741959 0.7807537 0.7619741 0.7675119 0.7535882 0.7786209 0.7572413 0.7762078 0.7494926 0.7586678 0.7453243 0.7514803 0.7779487 0.7907062 0.7748966 0.7905247 0.7973758 0.8008773
0.7542114 0.7493399 0.7475547 0.7683264 0.7596915 0.7674262 0.7471354 0.7568644 0.7504501 0.7672261 0.7351202 0.7523805 0.7308956 0.7460546 0.7659046 0.7744960 0.7584208 0.7580467 0.7449916 0.7560681 0.7387925 0.7596506 0.7580966 0.7568140 0.7402996 0.7553049 0.7242931 0.7510322 0.7699636 0.7752345 0.7630879 0.7790104 0.7529897 0.7047193 0.7606852 0.7743775 0.7561103 0.7576845 0.7623865 0.7490852 0.7515119 0.7728475 0.7579679 0.7604477 0.7382864 0.7568928 0.7383528 0.7573349 0.7429701 0.7610879 0.7317367 0.7437622 0.7361790 0.7337260 0.7522650 0.7626300 0.7666015 0.7747430 0.7811454 0.7834589
