"UT_0h"	"UT_0h.1"	"UT_0h.2"	"UT_0h.3"	"UT_0h.4"	"UT_0h.5"	"UT_10h"	"UT_10h.1"	"UT_10h.2"	"UT_10h.3"	"UT_10h.4"	"UT_10h.5"	"Veh_10h"	"Veh_10h.1"	"Veh_10h.2"	"Veh_10h.3"	"Veh_10h.4"	"Veh_10h.5"	"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"UT_24h"	"UT_24h.1"	"UT_24h.2"	"UT_24h.3"	"UT_24h.4"	"UT_24h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"10uM_48h"	"10uM_48h.1"	"10uM_48h.2"	"10uM_48h.3"	"10uM_48h.4"	"10uM_48h.5"	"UT_72h"	"UT_72h.1"	"UT_72h.2"	"UT_72h.3"	"UT_72h.4"	"UT_72h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"	"5uM_72h"	"5uM_72h.1"	"5uM_72h.2"	"5uM_72h.3"	"5uM_72h.4"	"5uM_72h.5"	"10uM_72h"	"10uM_72h.1"	"10uM_72h.2"	"10uM_72h.3"	"10uM_72h.4"	"10uM_72h.5"	"Blank"	"Blank.1"	"Blank.2"	"Blank.3"	"Blank.4"	"Blank.5"
"1,2-dioleoyl-GPC (18:1/18:1)*"	6.00915333190771	6.08216902462998	5.91256319186568	5.94359936706372	5.9551800553637	6.00000998865821	6.03543053872663	6.09018360614818	5.97269750410669	6.0887135821313	5.93907724544869	5.93715465793656	5.9613983108075	5.9320753095535	5.88295747818337	5.99765806114287	5.79759781149786	6.04349077873312	6.08330621125264	5.93682829097875	5.90387697512418	5.96608773601439	5.87993840767763	5.92004188844033	5.92552557573705	5.97818599695939	5.9247980614029	6.04828755889147	5.99437127110232	5.93633777735778	6.09432226206105	6.00960809724467	5.92376765475955	5.98004702621712	6.04152769027471	5.86513596787198	5.93841213890966	5.92056157548675	5.96217416714846	5.86614255012406	6.13631397869679	6.04444254280492	6.05575167939828	5.95294831565188	5.99917492583004	5.90452621002994	5.92272130701063	5.88103354101628	5.92539925112281	5.86834167841115	5.92506340993403	5.89619982287256	5.97504605727443	5.88590261955908	6.06470464336375	5.90372793110621	5.99484221266329	5.98157897717182	5.94210879765619	5.79332092543267	5.9458564210356	6.0360437205894	5.76945265634046	6.07670778503684	6.00662561080493	5.77037328786749	5.93441208875445	6.07211344666875	5.97019014855279	5.96393272535136	5.8884911976053	5.97489883896053	5.99412526388651	5.91612744696574	5.87222447202994	6.12940402721378	5.94135736493269	5.79986758711632	5.94479840788338	5.90583795903687	6.09959846951512	5.94788542765686	6.00682274458755	5.93007651149584	5.92642682740294	5.94359046559029	5.95724945724116	5.9330978680225	5.96736167634804	6.04622271811544	6.08359111802158	5.84847362526998	5.91111391065511	5.90014090884883	5.83972560636317	5.96290654334119	6.00212932882901	5.89342884177954	5.9872737928313	5.93584872280845	6.14325562630854	5.93065108341653	5.95511504680637	5.86168552143612	0	5.86021458950088	5.98333756347944	5.80813464385863
"1,2-dipalmitoyl-GPC (16:0/16:0)"	6.02758320760366	6.03571023784102	5.93203265065699	5.97270444115307	6.05479646120066	6.03515346305318	6.09925995198366	6.16967766627905	6.05876565871818	6.03214270988358	6.02317670877689	6.01562251629041	6.09707952848652	6.00400478243764	6.02123975702129	6.0054134756064	6.07702651380063	6.0608213134916	6.117076648332	5.98364116923497	5.95431150852556	5.99732040507303	5.94014777580609	5.87882902483145	6.05218125657021	6.06915359352122	6.01609567151442	6.07890538145534	6.01375543972348	5.98783021142069	6.1034297932004	5.98125805550236	6.02819168916839	6.03025757526216	6.10537902506405	5.87315080425077	6.03282659233163	5.98448680730631	6.01443274695786	5.96822696627209	6.0903095584021	6.00420396940643	6.08360544801595	6.05068477676878	5.99138779811432	5.88529957750791	5.95976191403375	6.04458561758716	5.91703787929656	6.02224562385704	5.90906476339398	5.94987575433785	6.0482335408839	6.05386407450267	6.0452948074201	5.9768408623946	6.01233011130545	6.01605340162143	6.07365274310202	5.95193220177146	6.08010855978882	6.0304114734058	5.95253818289604	6.05898675256483	6.08136099182595	5.95324586727737	6.041957295624	6.14376276699632	6.07087570827048	6.0518267958624	5.95726670881531	6.01550058483765	6.0071612125004	5.98349412965283	5.88803114550134	6.1204479017192	6.02059742821956	6.0065742814731	6.0365231030315	5.9862807488406	6.05287239298059	5.98325903354038	5.99029577845429	5.9707804891903	5.99200931484728	6.05989421897839	5.92804079433184	5.95847835366486	5.96596281351302	5.93843616048023	6.11693533344434	5.95911297342423	6.05309420078496	5.955288862728	6.01966494183717	6.07998358732412	5.9855935128421	6.01676725243119	5.97797633684147	6.02524276506756	6.12159496711306	6.05701303052248	5.96583362652183	6.08651678908399	5.97782919458385	6.04173682585158	6.10840399374772	5.86599357395988
"1,5-anhydroglucitol (1,5-AG)"	5.61684295953487	4.9453405429418	5.54685963210408	5.52190396391322	5.53441451159494	5.50175740797895	5.160786557116	5.54694099528751	5.05943466287661	5.23598774810909	5.433230430062	5.52275842904428	4.99900432515313	5.45481895395098	5.55544875605523	5.73696907463986	5.41146481364616	5.61656477927505	0	5.38764249797186	5.5612147149479	5.66040154033005	4.89245080076819	5.28663832335855	5.61670966519193	5.48415172679463	5.60126559205866	5.54168905165656	5.42259312248822	5.57942801534232	5.67575910035308	5.39332596078741	5.00502599291024	5.20042365149999	5.72560376188131	0	5.6829911710401	5.56047932455524	5.48686101748882	5.60427682583948	4.99171770229824	5.41624430334542	5.1295964508423	5.69504541177227	5.6604812704085	5.62270401205773	5.59535290304669	5.20176297936277	5.47895444590641	5.6499683106611	5.58467716496539	5.60220111410337	5.63236718444854	5.66194702165721	5.26280692300056	5.49407802894759	5.58506347863982	5.57214058295137	5.49116831969779	5.52524181536445	5.62479345752263	5.54024936698001	5.5016561779789	0	5.20857302230467	5.36091513422368	5.44480960517298	5.56612742373484	5.53910120179454	4.82430159970865	5.27404001935211	5.50834788321989	0	0	5.57348429143716	5.56689452777072	5.59318080432668	5.4945970148911	5.67852202090729	5.13597814528142	5.29436701050615	5.54935766852436	5.54705192052358	5.06061474998296	5.4532051640634	5.53987115874775	5.22001389348034	5.57373352920606	5.2021557937646	5.49591464808075	5.49122858319279	5.18600934372158	5.68181900741171	5.48682704311018	5.26112244404079	5.57351675841149	0	5.19448104007035	5.43277052762711	5.12326347590283	5.76713953333301	5.70985908205324	5.62844615096522	5.67304119217235	5.64950523231667	5.65779849245882	5.61492251400399	5.29228709128306
"1-arachidonoyl-GPC (20:4n6)*"	5.25330407474428	5.19391173932611	5.28303197315299	5.10217977844686	5.15027123232198	5.35390085058669	5.75053539278102	5.90435573770333	5.74502636036034	5.7646042358441	5.69483851469916	5.80577331115704	5.79852841819421	5.68891524019674	5.78758656456133	5.74365790129697	5.66897172577493	5.84474053058795	5.9130775761353	5.77100141268704	5.8001979511568	5.7468450685327	5.68328664501772	5.74127690350039	5.81008391814722	5.75560047776599	5.77027305733304	5.80075761970403	5.75128988420903	5.7738602833885	5.15508996879544	5.07884815924524	5.33794021313497	5.18961943184156	5.2077662781017	5.26087242322336	5.22253439338171	5.17964656731699	5.37291752362758	5.08318717597204	5.0650379091485	5.29766861035241	5.35370278012364	5.39381553410949	5.34719531434313	5.250756572074	5.17440582552825	5.28176718211646	5.25926887254532	5.32189655608673	5.45519976973809	5.38779011827522	5.34985426051146	5.5305915394089	0	0	0	0	0	0	0	0	4.80280108156309	0	0	0	0	0	0	0	0	4.74474660343351	0	0	4.97834945248658	0	0	5.08532626242399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8156906236575	0	0	0	0	0	0	0	0	4.75873783708694	5.90867049271328	5.92187055652139	5.92386392265241	5.94557985268308	5.91597306318428	5.89739173887497
"1-methylguanidine"	5.32101400764228	5.23346570717156	5.29184817484105	5.42157760519451	5.44668780820051	5.23511162724105	5.210099042643	5.32363773920353	5.28281237237814	5.37870125597442	5.3345040138073	5.35708256550647	5.214714069942	5.12846389106476	5.35432553211963	5.41069795685797	5.32134776380296	5.29681870158049	5.30813310616762	5.37059820075613	5.36793149222259	5.34616708793703	5.35129565245743	5.35856868276576	5.30478125264114	5.28520838315249	5.22252138490552	5.27406312577613	5.32500841669874	5.28307044845361	5.34896262269642	5.36860109997481	5.4013212575683	5.4041783610344	5.26853351058141	5.25764258212235	5.42566461968312	5.38752329798304	5.34041833403719	5.41506186820864	5.25049319184061	5.4318267647166	5.47276229836176	5.40231985777479	5.34876034119676	5.36621369829516	5.36955721973258	5.31646310543228	5.31009614524987	5.35340646733208	5.32864662263669	5.40924141930748	5.44887320528875	5.25512771614317	5.38273366761484	5.35949018530102	5.41063722462896	5.29997772926126	5.37847058013531	5.32477821474078	5.44807992794766	5.31230220873737	5.33943554007321	5.40918556138737	5.42618094184582	5.38115119517346	5.36005352307843	5.36425260854149	5.3388189184653	5.41132502642172	5.26641516264287	5.35244687472216	5.37937623218023	5.31667052641419	5.2935636318084	5.38051333319812	5.27974677025618	5.30497496115545	5.42637786204934	5.32460136966668	5.36890951610398	5.33607730632211	5.37841243775863	5.42071468748803	5.34152750706397	5.31608572238339	5.39378747313233	5.40840957846843	5.35030424031976	5.40973198320636	5.44855946954363	5.40007841298388	5.46265101303599	5.36573875497968	5.41323436346296	5.40031344514033	5.36422632566587	5.42445366208922	5.35320817121373	5.39034682241237	5.28820896984088	5.37283838749711	5.16187986844492	5.26502076105186	5.22830537848416	5.2646077058364	5.23725964480098	5.37692170110306
"1-methylhistidine"	7.93126222120463	7.91370130256747	7.91119414122754	7.94728786072026	7.94912169569998	7.84890621321163	7.88841027724148	7.91717483675782	7.89423735075605	7.96423069512937	7.94466910238785	7.86811007449094	7.85884318916049	7.90713426991746	7.95034623579207	7.91535765963468	7.94812243908047	7.95944102657608	7.92386911844137	7.94319660051161	7.91313930376257	7.9256583986603	7.93103915955813	7.91775036789687	7.93867068131464	7.93604259919873	7.92806594997892	7.91686625356868	7.9242504975878	7.93835942692374	7.90450785635136	7.90567864279981	7.95195018976989	7.93345298836598	7.90159378706708	7.90480085980928	7.9226754775254	7.91923014207926	7.89795377773537	7.8793299338462	7.92243097189229	7.90757068752068	7.97605039135695	7.95465730379628	7.92808833666439	7.92366463483158	7.93567482481525	7.94915368616176	7.90684546343052	7.93282775302204	7.90753092579505	7.92816356551306	7.93285987155257	7.93503946724384	7.94241588981852	7.92051856316419	7.85550931881667	7.92238315927079	7.91255690294718	7.9004730071232	7.8308237527368	7.80512237453513	7.93084079536582	7.92694345639029	7.94782830939891	7.91599332062134	7.80071960707834	7.91501241742969	7.93980984315172	7.91745181546219	7.88041335412056	7.89409424996912	7.90061275514063	7.86230234314458	7.91697596724652	7.92260473121685	7.93270700340742	7.93335440783044	7.88401136387752	7.86398267663046	7.97712263812538	7.90481911459595	7.87401343171155	7.93385068782852	7.89596607949335	7.84997421907121	7.92177417850942	7.93088300116763	7.82267737026584	7.93606099584682	7.95264120283046	7.89804205651426	7.97077779496963	7.94596483501165	7.95841643695724	7.90285001643417	7.90625507253088	7.82053496942599	7.96079700848927	7.91396957729203	8.01575071270783	7.97701381812556	7.9284609096136	7.91531708446789	7.84781910067707	7.92550062309288	7.8690685352039	7.9854954886363
"1-methylimidazoleacetate"	6.31787266289057	6.3208403945129	6.28892027552416	6.39176406508444	6.4347240727213	6.3700105939693	6.33630900550873	6.24232124382417	6.19813231821919	6.51450817294987	6.57741918156723	6.36043360014409	6.3182318001914	6.56436384636703	6.55770613779642	6.36860184340951	6.58443311328134	6.4868344044511	6.34321493998815	6.44878837989926	6.56948919891079	6.52586336086016	6.51676931429589	6.3916297754905	6.54782748187859	6.38056613240875	6.58650302536332	6.31506325492008	6.56283628481969	6.47765525326644	6.38938282298768	6.48500339578593	6.41168686491688	6.38253662358488	6.36177220731747	6.56512922242338	6.56514423486403	6.31693709495671	6.33098933932672	6.35121750603574	6.42043617894573	6.32543232665353	6.60708405239534	6.47101431959487	6.53494211026176	6.56190122796762	6.56347171117737	6.57944585851066	6.5265477145649	6.41628727066184	6.55253413588781	6.50571297461617	6.53262827519148	6.41234242342871	6.22248261733564	6.54055244715842	6.45665566864999	6.55783815012928	6.56398320016606	6.56557334753854	6.36810010741654	6.47023109060028	6.54941245921444	6.54945363961238	6.56955941089659	6.5960031905813	6.17550949402758	6.38523616137687	6.34240846731567	6.41104683390274	6.53472701463195	6.46841852523624	6.51048388297788	6.43729843939642	6.5356478689582	6.30175336180701	6.59527306500186	6.57909183201732	6.44523918028706	6.2350236650764	6.41687855526773	6.43197793679421	6.3942660152776	6.57389539916283	6.54536848251842	6.41684579191302	6.42534719233043	6.43054362132488	6.33209735432665	6.34999492929152	6.31606915194626	6.41137033588419	6.64286074445043	6.39612608642603	6.61014541079192	6.4274211872806	6.57190020522179	6.3773539771178	6.59151659479292	6.46999128422605	6.67352572299919	6.51877009806297	6.53737311637738	6.368104945297	6.40233327159093	6.56157193249531	6.23043461497147	6.47022153030387
"1-methylnicotinamide"	7.01055697950991	7.02702186706418	6.96443453878471	6.93093696443574	7.0478689574212	6.92686462383026	6.20499014221071	6.228516617018	6.27546569173172	6.36859775450289	6.46368011760416	6.37928013027475	6.17844194674551	6.2586023270757	6.41019818174567	6.2591842353977	6.4115360373005	6.43098817834692	6.11555260188264	6.25085359230409	6.30566515207526	6.23402602016176	6.36368811575713	6.36460689661812	6.24994763325137	6.2484468062064	6.22987118107216	6.18370335216421	6.32647452622523	6.30971574055437	6.76933426379114	6.90568661863396	6.86926294086066	6.82042511938921	6.85222824947524	6.95057309052097	6.68240503350625	6.65983655627388	6.80277372529198	6.76669370910923	6.81926681991168	6.85094474830816	6.85105546746481	6.79465322839178	6.83680891270509	6.7986093544363	6.88881058810529	6.88125982910467	6.75494798194757	6.74448606430048	6.74102570614438	6.71379335160486	6.82069513127902	6.77175660968713	7.26950416484288	7.31359998381288	7.21006383567506	7.25305998727677	7.34272942126405	7.35705057716274	6.99811337176508	7.08866617157936	7.31310392044497	7.27228649559512	7.33388678778278	7.35542918221787	7.10402433438452	7.12871647218007	7.18729573186756	7.06123950194046	7.22119403515398	7.1506969236269	7.14773294884066	7.04924896504971	7.09346175048242	6.94123894415399	7.17203026576315	7.16163302069976	7.49053277374492	7.57682132011856	7.50202194460595	7.41798460504417	7.47730553019729	7.61841203992516	7.37806814809715	7.26467145999113	7.48243097778782	7.56672411444924	7.58992316326308	7.54968518212402	7.30983559972988	7.41361535967385	7.41846513198519	7.36680668529406	7.48306623047907	7.38971011830911	7.31016504199853	7.23934373235599	7.40189714478247	7.21852765423564	7.34677301963452	7.28488099346007	0	0	0	0	0	0
"1-oleoyl-GPC (18:1)"	6.05745232669866	6.10036813236374	6.11639984381729	6.07755430299263	6.11806655263013	6.13006957276687	6.29655901641084	6.40062207724004	6.34872259748806	6.33885892596829	6.3347361517908	6.35897609501048	6.38098432123284	6.35077970348379	6.38278277974083	6.34875859027252	6.35412054541776	6.3889641347996	6.32826683534943	6.33179219351016	6.35627373606463	6.3832969541434	6.29325070671826	6.29150671040558	6.34808162116259	6.39507623032801	6.35277487766363	6.40528760775439	6.36040026671096	6.38416571104539	6.15825752491141	6.04192929940627	6.19894670326651	6.13431356046874	6.10841955807545	6.11726300751405	6.14526261776292	6.13959670320352	6.24395802606172	6.06030906724449	6.06400886131106	6.19210922333917	6.22758799232983	6.19654839638217	6.25823368499212	6.16618729104725	6.16337518850563	6.27860957416623	6.23366659024315	6.17917909164585	6.25522521268486	6.281484026518	6.22634698713311	6.37369358140057	5.63512973298962	5.61360188980261	5.81441541945127	5.71923762177623	5.61565446259008	5.81110896166651	5.74955235831078	5.76806803945397	5.88424180961057	5.70105049516793	5.75257850155603	5.77931215895642	5.95770399898711	5.94705710472679	6.04103246620364	5.91387104837827	5.88918288569945	6.09327561156788	5.99508254336477	6.03060295993697	6.15830880515357	6.13189570331829	6.05026720410538	6.14742030870241	5.16583466021256	5.28787783672717	5.64841270868703	5.12263194606992	5.25067611172562	5.54634891505756	5.27679945747768	5.3563528897862	5.56725463442304	5.31934761399097	5.29472628406504	5.57275430362691	5.74487712699503	5.65574717325501	5.99183808811365	5.71464572396848	5.61835042785303	5.90222052827931	5.86073258597699	5.92579717809907	5.9506583421519	5.89726961330371	6.11196313883992	6.05128877302973	6.45054700606382	6.5112784019108	6.48086590973615	6.36797728163086	6.43901530602334	6.46327274389008
"1-palmitoleoyl-GPC (16:1)*"	5.38116744570236	5.39999888801792	5.38714413128521	5.29556050303417	5.44574894397879	5.42154634613289	5.66360482357072	5.71854237611926	5.57083937309606	5.6175989191267	5.55342422764265	5.55615529824881	5.6206606407049	5.54541474876814	5.56006691352621	5.61503633664027	5.58493813379346	5.60464610001855	5.72400865533382	5.60482090983548	5.56114552672377	5.61380377981739	5.58429050735121	5.5082266170756	5.61259632813249	5.59267075011174	5.54121468296363	5.6413719698829	5.64626547505112	5.53743498376142	5.51336544817342	5.42322948515657	5.36977043501007	5.46868399968609	5.48825591664074	5.308764975014	5.45731709812939	5.41967163028551	5.51322825747047	5.35816145911054	5.42976519563138	5.42937755958002	5.55306826397431	5.47055895490847	5.50122363280518	5.48631852555455	5.41592774637728	5.46034598337073	5.38920153552833	5.45609869271931	5.38122883110228	5.50267287750221	5.51324957149099	5.55229945672012	5.035437743539	5.03645721931437	4.95636535566449	4.97205465293639	4.96655470297251	5.0260999796409	5.0105882596042	5.10546930807157	4.91203596640174	4.99925672075091	5.04856997531402	4.98433825283811	5.29556270202141	5.3151828665795	5.24091599734339	5.1950717679625	5.07966232255106	5.29257502770009	5.29159970230682	5.30781468885514	5.28780172993023	5.36898565745538	5.23628779801229	5.32682109820376	0	0	0	0	0	0	4.93326451560381	0	0	0	0	0	5.19588028852931	4.81853599322149	4.79989856942287	5.04877574780515	0	4.95910342995878	5.12591696812302	5.08053630013259	5.14448080090275	5.16071757125601	5.15169460681153	5.14433753825566	5.59877847324804	5.69951426843401	5.59296909366707	5.59222784785906	5.60973523865365	5.49343156031519
