X5uM_10h X5uM_10h.1 X5uM_10h.2 X5uM_10h.3 X5uM_10h.4 X5uM_10h.5 UT_24h UT_24h.1 UT_24h.2 UT_24h.3 UT_24h.4 UT_24h.5 Veh_24h Veh_24h.1 Veh_24h.2 Veh_24h.3 Veh_24h.4 Veh_24h.5 X5uM_24h X5uM_24h.1 X5uM_24h.2 X5uM_24h.3 X5uM_24h.4 X5uM_24h.5 X10uM_24h X10uM_24h.1 X10uM_24h.2 X10uM_24h.3 X10uM_24h.4 X10uM_24h.5 UT_48h UT_48h.1 UT_48h.2 UT_48h.3 UT_48h.4 UT_48h.5 Veh_48h Veh_48h.1 Veh_48h.2 Veh_48h.3 Veh_48h.4 Veh_48h.5 X5uM_48h X5uM_48h.1 X5uM_48h.2 X5uM_48h.3 X5uM_48h.4 X5uM_48h.5 X10uM_48h X10uM_48h.1 X10uM_48h.2 X10uM_48h.3 X10uM_48h.4 X10uM_48h.5 Veh_72h Veh_72h.1 Veh_72h.2 Veh_72h.3 Veh_72h.4 Veh_72h.5
1.0728169 1.0865589 1.0811070 1.0706094 1.0755675 1.0676599 1.0796994 1.0825049 1.0805543 1.0754468 1.0833140 1.0858055 1.0833854 1.0708658 1.0828542 1.0769712 1.0803096 1.0698962 1.0915179 1.0871634 1.0837610 1.0713038 1.0816905 1.0734295 1.0871649 1.0865713 1.0966817 1.0873544 1.0821235 1.0805945 1.0781605 1.0798018 1.0899454 1.0907236 1.0833117 1.0793400 1.0805433 1.0823136 1.0863713 1.0848855 1.0833729 1.0790459 1.0863292 1.0814725 1.0924601 1.0810111 1.0919570 1.0838196 1.0936719 1.0822750 1.0936068 1.0863797 1.0915118 1.0910651 1.0879138 1.0855670 1.0872725 1.0781016 1.0844893 1.0838614
0.9410500 0.9432387 0.9369385 0.9367104 0.9255620 0.9309022 0.9254234 0.9360922 0.9261964 0.9290393 0.9229160 0.9365374 0.9310063 0.9347395 0.9392701 0.9302691 0.9312072 0.9245553 0.9475537 0.9440661 0.9430495 0.9293776 0.9429665 0.9436153 0.9536897 0.9506823 0.9618924 0.9503680 0.9467895 0.9532137 0.9201830 0.9276966 0.9341785 0.9311244 0.9221902 0.9297138 0.9304890 0.9311125 0.9229291 0.9252971 0.9331023 0.9260293 0.9500979 0.9376834 0.9414747 0.9460340 0.9520332 0.9433001 0.9575995 0.9540940 0.9625709 0.9572934 0.9636846 0.9603792 0.9391355 0.9346133 0.9376632 0.9375284 0.9359303 0.9381077
0.9649356 0.9703557 0.9670536 0.9643714 0.9532894 0.9656291 0.9729813 0.9783990 0.9770189 0.9715081 0.9856127 0.9838993 0.9640520 0.9675129 0.9791970 0.9650152 0.9750250 0.9772375 0.9572230 0.9881801 0.9814601 0.9730802 0.9703175 0.9671048 0.9857283 0.9797280 1.0007160 0.9821800 0.9737927 0.9661292 0.9781334 0.9796315 0.9616529 0.9783652 0.9768159 0.9818617 0.9780318 0.9786523 0.9852062 0.9840915 0.9880989 0.9794897 0.9712702 0.9619934 0.9883043 0.9656904 0.9651528 0.9791712 0.9814827 0.9621712 0.9624837 0.9797210 0.9768440 0.9807866 0.9931923 0.9822275 0.9909282 0.9868348 0.9643093 0.9835640
1.0233165 1.0275435 1.0335423 1.0262184 1.0265744 1.0236935 1.0278217 1.0350719 1.0398395 1.0421251 1.0325964 1.0432321 1.0441967 1.0371718 1.0432585 1.0446400 1.0368769 1.0329092 1.0407281 1.0381649 1.0411737 1.0328884 1.0404718 1.0381971 1.0417998 1.0469095 1.0528087 1.0422814 1.0423790 1.0449191 1.0372032 1.0421183 1.0442041 1.0452469 1.0439459 1.0468594 1.0452279 1.0487503 1.0481126 1.0446797 1.0415309 1.0435224 1.0522884 1.0470054 1.0493528 1.0489993 1.0466141 1.0515714 1.0627561 1.0580799 1.0645161 1.0547149 1.0623231 1.0612132 1.0533061 1.0536423 1.0448124 1.0384101 1.0451313 1.0463040
0.9476775 0.9553269 0.9503829 0.9416993 0.9459886 0.9470437 0.9557615 0.9572989 0.9652470 0.9669366 0.9701056 0.9670224 0.9745014 0.9678749 0.9664639 0.9702255 0.9578482 0.9591016 0.9703004 0.9714961 0.9672464 0.9622545 0.9627003 0.9651071 0.9677570 0.9661939 0.9761448 0.9760030 0.9657813 0.9625317 0.9431732 0.9546156 0.9467001 0.9147508 0.9502340 0.9523461 0.9604899 0.9634981 0.9527721 0.9538243 0.9489387 0.9490697 0.9562778 0.9542730 0.9607700 0.9522830 0.9580791 0.9535662 0.9611660 0.9456929 0.9583608 0.9588707 0.9536005 0.9466399 0.9395674 0.9474423 0.9316536 0.9331985 0.9373362 0.9373882
1.0147426 1.0189779 1.0150261 1.0094413 1.0191477 1.0104859 1.0107912 1.0111570 1.0118504 1.0158537 1.0194610 1.0171638 1.0178007 1.0157461 1.0162680 1.0163972 1.0138628 1.0079553 1.0153876 1.0202745 1.0203437 1.0122734 1.0168934 1.0160959 1.0184945 1.0199041 1.0202118 1.0262798 1.0166066 1.0123687 1.0066279 1.0108163 1.0188454 1.0093373 1.0075496 1.0123137 1.0171070 1.0164392 1.0116548 1.0163397 1.0108891 1.0106286 1.0132846 1.0153109 1.0210540 1.0148012 1.0159545 1.0141688 1.0235579 1.0164004 1.0209604 1.0253606 1.0194100 1.0165321 1.0064913 1.0065953 1.0083041 1.0089518 1.0107936 1.0071803
0.8552154 0.8320051 0.8461601 0.8165427 0.8551343 0.8295686 0.8537866 0.8276160 0.8537072 0.8569297 0.8386877 0.8519192 0.8467265 0.8471318 0.8691102 0.8499245 0.8347999 0.8439562 0.8639890 0.8682263 0.8633386 0.8460279 0.8539685 0.8463038 0.8717046 0.8615649 0.8564977 0.8454847 0.8701950 0.8435459 0.8629420 0.8806778 0.8561940 0.9220993 0.8788948 0.8810524 0.8694582 0.8668346 0.8728240 0.8677175 0.8663095 0.8821734 0.8614373 0.8679582 0.8691612 0.8455486 0.8615500 0.8590246 0.8641255 0.8529871 0.8461517 0.8556095 0.8631145 0.8616241 0.8824102 0.8876260 0.8773570 0.8678386 0.8690285 0.8799817
0.9449731 0.9485768 0.9389970 0.9424941 0.9441619 0.9403125 0.9197341 0.9355904 0.9336077 0.9417552 0.9338184 0.9363034 0.9348009 0.9342026 0.9388695 0.9419105 0.9295600 0.9317622 0.9458907 0.9511222 0.9385585 0.9404930 0.9428438 0.9434942 0.9411951 0.9504733 0.9358921 0.9471310 0.9489913 0.9443909 0.9465386 0.9557412 0.9454193 0.9254271 0.9501471 0.9572270 0.9481093 0.9474396 0.9490387 0.9554553 0.9461655 0.9516790 0.9545989 0.9533713 0.9492461 0.9424154 0.9444547 0.9521119 0.9504629 0.9521371 0.9453732 0.9459549 0.9386989 0.9448178 0.9553998 0.9602716 0.9529125 0.9572414 0.9636435 0.9642974
0.9273672 0.9336595 0.9273751 0.9388518 0.9334608 0.9333591 0.9315213 0.9371837 0.9254773 0.9363166 0.9161028 0.9326648 0.9135440 0.9172195 0.9484299 0.9399697 0.9357573 0.9256331 0.9257903 0.9340557 0.9129191 0.9255841 0.9365324 0.9295062 0.9322190 0.9354883 0.9171524 0.9326624 0.9416388 0.9456883 0.9372474 0.9390232 0.9401654 0.9117645 0.9315198 0.9405841 0.9257647 0.9267460 0.9363861 0.9295107 0.9314858 0.9356231 0.9345895 0.9285759 0.9197367 0.9293764 0.9253605 0.9260829 0.9325501 0.9335902 0.9229767 0.9273697 0.9271809 0.9224958 0.9238576 0.9261745 0.9427117 0.9381315 0.9440287 0.9433247
0.9091630 0.9165996 0.9011696 0.9040872 0.9141792 0.9032759 0.8986591 0.9048775 0.9103046 0.9172358 0.9109368 0.9192774 0.9213138 0.9074474 0.9136971 0.9142683 0.9085283 0.9064773 0.9212226 0.9216324 0.9276076 0.9189188 0.9206583 0.9144872 0.9207312 0.9243967 0.9191953 0.9267297 0.9287079 0.9224491 0.9182983 0.9308787 0.9151843 0.9776585 0.9322226 0.9267892 0.9215083 0.9224490 0.9323867 0.9235770 0.9289912 0.9331568 0.9261671 0.9303509 0.9364134 0.9241004 0.9237841 0.9247412 0.9260004 0.9278522 0.9291849 0.9294117 0.9236216 0.9250773 0.9320363 0.9356614 0.9251352 0.9342071 0.9373978 0.9341606
