"5uM_10h"	"5uM_10h.1"	"5uM_10h.2"	"5uM_10h.3"	"5uM_10h.4"	"5uM_10h.5"	"10uM_10h"	"10uM_10h.1"	"10uM_10h.2"	"10uM_10h.3"	"10uM_10h.4"	"10uM_10h.5"	"Veh_24h"	"Veh_24h.1"	"Veh_24h.2"	"Veh_24h.3"	"Veh_24h.4"	"Veh_24h.5"	"5uM_24h"	"5uM_24h.1"	"5uM_24h.2"	"5uM_24h.3"	"5uM_24h.4"	"5uM_24h.5"	"10uM_24h"	"10uM_24h.1"	"10uM_24h.2"	"10uM_24h.3"	"10uM_24h.4"	"10uM_24h.5"	"UT_48h"	"UT_48h.1"	"UT_48h.2"	"UT_48h.3"	"UT_48h.4"	"UT_48h.5"	"Veh_48h"	"Veh_48h.1"	"Veh_48h.2"	"Veh_48h.3"	"Veh_48h.4"	"Veh_48h.5"	"5uM_48h"	"5uM_48h.1"	"5uM_48h.2"	"5uM_48h.3"	"5uM_48h.4"	"5uM_48h.5"	"Veh_72h"	"Veh_72h.1"	"Veh_72h.2"	"Veh_72h.3"	"Veh_72h.4"	"Veh_72h.5"
"1,2-dioleoyl-GPC (18:1/18:1)*"	1211452	864626	801451	924885	758470	831844	842414	951012	841004	1117603	987123	863650	867785	832840	916588	734755	1368718	1107752	1136977	897322	998102	802650	836992	760385	842169	738485	841518	787408	944161	768958	1160659	801176	988194	958471	875203	621328	882788	1086535	588102	1193185	1015373	589350	859829	1180629	933663	920307	773555	943841	844164	878194	906253	857231	927602	1112302
"1,2-dipalmitoyl-GPC (16:0/16:0)"	1309413	963033	900143	993849	871260	756535	1127668	1172610	1037757	1199238	1032180	972367	1078516	964910	1033791	929452	1231146	1009727	1212287	1123789	980365	767891	911511	1108117	826110	1052557	811082	890996	1117464	1132046	1109928	948071	1028798	1037656	1184821	895225	1202565	1072535	896475	1145478	1206038	897937	1101431	1392396	1177269	1126748	906289	1036336	981769	1147874	847307	908821	924619	867833
"1,5-anhydroglucitol (1,5-AG)"	NA	244142	364095	457511	78064	193481	413723	304896	399269	348088	264602	379689	481938	363479	306804	402047	98111	260762	134771	495502	457595	419473	393870	159134	301269	446651	384306	400130	428911	459142	183150	311945	384648	373371	309862	335152	421496	346936	317436	NA	161649	229570	278490	368237	346020	66727	187949	322365	283926	346634	165964	374743	159278	313267
"1-arachidonoyl-GPC (20:4n6)*"	818611	590203	631245	558271	482266	551159	645779	569640	589214	632059	564014	594101	166930	151233	236003	121112	116155	198458	225789	247637	222431	178138	149419	191323	181664	209844	285233	244225	223797	339306	NA	NA	NA	NA	NA	NA	NA	NA	63504	NA	NA	NA	NA	NA	NA	NA	NA	55558	NA	NA	NA	NA	NA	NA
"1-methylguanidine"	203298	234746	233309	221905	224541	228333	201735	192845	166925	187959	211353	191898	266480	244075	218987	260053	178030	270288	297004	252534	223234	232388	234184	207235	204219	225635	213131	256591	281108	179940	241398	228818	257417	199516	239040	211241	280595	205259	218492	256558	266797	240520	229115	231341	218182	257825	184678	225137	219547	207055	247621	256100	224029	256881
"1-methylhistidine"	83920704	87739792	81872736	84267168	85317704	82746640	86830176	86306320	84735608	82578360	83994432	86767968	83690368	83029064	79059448	75740808	83643264	80829648	94634696	90086000	84739976	83881200	86233264	88951584	80694784	85669800	80822248	84754656	85676136	86107200	87582208	83275752	71698376	83634056	81763016	79519384	67736656	63844336	85278744	84516880	88680536	82412544	63200368	82226616	87058232	82689776	75929992	78359968	78698432	70790376	83516864	85287032	66477912	86309976
"1-methylimidazoleacetate"	2204017	2810531	3710985	3356320	3286770	2463938	3530429	2401962	3859251	2065681	3654570	3003691	3674043	2074613	2142838	2245006	2632911	2115594	4046542	2958110	3427221	3646710	3659921	3797046	3361613	2607878	3568898	3204151	3409010	2584297	1669101	3471782	2861908	3612752	3664234	3677675	2333996	2952780	3543337	3543673	3711585	3944602	1497992	2427930	2199928	2576599	3425524	2940482	3510496	2611234	2662853	2694906	2148312	2238695
"1-methylnicotinamide"	1304826	1781778	2021460	1714060	2310405	2315298	1778065	1771931	1697740	1526523	2120677	2040402	4812880	4569162	6350000	5843778	6595790	7094875	7096684	6232370	6867662	6289402	7741241	7607813	5687848	5552468	5508403	5173606	6617518	5912302	18599624	20587328	16220485	17908532	22015544	22753624	9956653	12264961	20563826	18719166	21571820	22668834	12706453	13449820	15392024	11514352	16641560	14148061	23881860	18393800	30369034	36874328	38897632	35455628
"1-oleoyl-GPC (18:1)"	2129447	2146803	2271296	2417113	1964494	1956621	2228854	2483569	2253071	2542656	2292980	2421953	1397213	1379103	1753711	1148971	1158801	1556357	1688838	1572347	1812315	1466180	1456717	1899370	1712642	1510703	1799804	1911983	1684019	2364251	431648	410773	652252	523887	412719	647305	561762	586230	766023	502401	565690	601606	907202	885232	1099088	820108	774788	1239583	189147	227171	369194	208616	197118	373899
"1-palmitoleoyl-GPC (16:1)*"	529674	402551	364037	410964	383964	322275	409823	391445	347708	437897	442859	344695	286627	262828	326008	228119	269008	268768	357329	295501	317120	306421	260572	288633	245020	285824	240563	318180	326024	356697	108502	108757	90441	93768	92588	106194	102468	127488	81665	99829	111833	96458	197498	206625	174147	156701	120133	196144	85756	NA	NA	NA	NA	NA
