"Total"	"5uM_10h"	"10uM_10h"	"Veh_24h"	"5uM_24h"	"10uM_24h"	"UT_48h"	"Veh_48h"	"5uM_48h"	"Veh_72h"
"1,2-dioleoyl-GPC (18:1/18:1)*"	0	0	0	0	0	0	0	0	0	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0	0	0	0	0	0	0
"1,5-anhydroglucitol (1,5-AG)"	2	1	0	0	0	0	0	1	0	0
"1-arachidonoyl-GPC (20:4n6)*"	22	0	0	0	0	0	6	5	5	6
"1-methylguanidine"	0	0	0	0	0	0	0	0	0	0
"1-methylhistidine"	0	0	0	0	0	0	0	0	0	0
"1-methylimidazoleacetate"	0	0	0	0	0	0	0	0	0	0
"1-methylnicotinamide"	0	0	0	0	0	0	0	0	0	0
"1-oleoyl-GPC (18:1)"	0	0	0	0	0	0	0	0	0	0
"1-palmitoleoyl-GPC (16:1)*"	5	0	0	0	0	0	0	0	0	5
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"	0	0	0	0	0	0	0	0	0	0
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	0	0	0	0	0	0	0	0	0	0
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	0	0	0	0	0	0	0	0	0	0
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	2	0	0	0	1	0	0	1	0	0
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	7	2	0	0	0	2	2	0	0	1
"1-palmitoyl-GPA (16:0)"	0	0	0	0	0	0	0	0	0	0
"1-palmitoyl-GPC (16:0)"	0	0	0	0	0	0	0	0	0	0
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)"	0	0	0	0	0	0	0	0	0	0
"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*"	0	0	0	0	0	0	0	0	0	0
"1-stearoyl-2-oleoyl-GPC (18:0/18:1)"	0	0	0	0	0	0	0	0	0	0
"1-stearoyl-GPC (18:0)"	0	0	0	0	0	0	0	0	0	0
"2'-deoxycytidine"	8	0	0	0	0	0	1	0	4	3
"2'-deoxyinosine"	8	0	0	0	0	0	2	0	5	1
"2'-deoxyuridine"	0	0	0	0	0	0	0	0	0	0
"2-aminoadipate"	0	0	0	0	0	0	0	0	0	0
"2-aminooctanoate"	27	4	4	3	1	3	2	4	4	2
"2-hydroxybutyrate/2-hydroxyisobutyrate"	0	0	0	0	0	0	0	0	0	0
"2-hydroxyglutarate"	0	0	0	0	0	0	0	0	0	0
"2-hydroxyhippurate (salicylurate)"	0	0	0	0	0	0	0	0	0	0
"2-methylbutyrylcarnitine (C5)"	0	0	0	0	0	0	0	0	0	0
"2-methylbutyrylglycine"	0	0	0	0	0	0	0	0	0	0
"2-methylcitrate/homocitrate"	0	0	0	0	0	0	0	0	0	0
"3-(4-hydroxyphenyl)lactate"	0	0	0	0	0	0	0	0	0	0
"3-aminoisobutyrate"	15	0	1	4	2	1	2	2	2	1
"3-hydroxy-3-methylglutarate"	0	0	0	0	0	0	0	0	0	0
"3-hydroxybutyrate (BHBA)"	0	0	0	0	0	0	0	0	0	0
"3-hydroxybutyrylcarnitine (2)"	1	0	0	0	0	0	0	0	1	0
"3-hydroxyhippurate"	0	0	0	0	0	0	0	0	0	0
"3-hydroxyisobutyrate"	0	0	0	0	0	0	0	0	0	0
"3-indoxyl sulfate"	0	0	0	0	0	0	0	0	0	0
"3-methyl-2-oxobutyrate"	0	0	0	0	0	0	0	0	0	0
"3-methyl-2-oxovalerate"	0	0	0	0	0	0	0	0	0	0
"3-methylcytidine"	2	0	0	2	0	0	0	0	0	0
"3-methylglutaconate"	0	0	0	0	0	0	0	0	0	0
"3-methylhistidine"	0	0	0	0	0	0	0	0	0	0
"3-phenylpropionate (hydrocinnamate)"	4	0	1	0	0	1	0	1	1	0
"3-sulfo-L-alanine"	3	0	1	0	0	0	0	0	0	2
"3-ureidopropionate"	0	0	0	0	0	0	0	0	0	0
"4-acetamidobutanoate"	0	0	0	0	0	0	0	0	0	0
"4-ethylphenylsulfate"	0	0	0	0	0	0	0	0	0	0
"4-guanidinobutanoate"	0	0	0	0	0	0	0	0	0	0
"4-hydroxyglutamate"	2	0	1	0	0	0	0	0	0	1
"4-hydroxyphenylpyruvate"	2	0	2	0	0	0	0	0	0	0
"4-imidazoleacetate"	0	0	0	0	0	0	0	0	0	0
"4-methyl-2-oxopentanoate"	0	0	0	0	0	0	0	0	0	0
"4-methylcatechol sulfate"	0	0	0	0	0	0	0	0	0	0
"4-vinylphenol sulfate"	0	0	0	0	0	0	0	0	0	0
"5-(2-Hydroxyethyl)-4-methylthiazole"	2	0	0	1	0	0	1	0	0	0
"5-hydroxyindoleacetate"	0	0	0	0	0	0	0	0	0	0
"5-hydroxylysine"	0	0	0	0	0	0	0	0	0	0
"5-methylcytidine"	40	0	0	6	6	4	6	6	6	6
"5-methylthioadenosine (MTA)"	0	0	0	0	0	0	0	0	0	0
"5-methyluridine (ribothymidine)"	0	0	0	0	0	0	0	0	0	0
"5-oxoproline"	0	0	0	0	0	0	0	0	0	0
"6-oxopiperidine-2-carboxylic acid"	0	0	0	0	0	0	0	0	0	0
"7-methylguanine"	0	0	0	0	0	0	0	0	0	0
"acetylcarnitine"	0	0	0	0	0	0	0	0	0	0
"aconitate [cis or trans]"	0	0	0	0	0	0	0	0	0	0
"adenine"	0	0	0	0	0	0	0	0	0	0
"alanine"	0	0	0	0	0	0	0	0	0	0
"allantoic acid"	0	0	0	0	0	0	0	0	0	0
"allantoin"	0	0	0	0	0	0	0	0	0	0
"alpha-hydroxyisovalerate"	0	0	0	0	0	0	0	0	0	0
"alpha-ketoglutarate"	0	0	0	0	0	0	0	0	0	0
"alpha-tocopherol"	0	0	0	0	0	0	0	0	0	0
"anserine"	7	0	0	2	1	0	0	2	1	1
"arabitol/xylitol"	0	0	0	0	0	0	0	0	0	0
"arabonate/xylonate"	0	0	0	0	0	0	0	0	0	0
"arachidonate (20:4n6)"	0	0	0	0	0	0	0	0	0	0
"arginine"	0	0	0	0	0	0	0	0	0	0
"argininosuccinate"	11	2	3	2	0	0	1	2	1	0
"asparagine"	0	0	0	0	0	0	0	0	0	0
"aspartate"	0	0	0	0	0	0	0	0	0	0
"behenoyl sphingomyelin (d18:1/22:0)*"	1	0	0	0	0	1	0	0	0	0
"benzoate"	0	0	0	0	0	0	0	0	0	0
"beta-alanine"	0	0	0	0	0	0	0	0	0	0
"beta-hydroxyisovalerate"	0	0	0	0	0	0	0	0	0	0
"betaine"	0	0	0	0	0	0	0	0	0	0
"biotin"	0	0	0	0	0	0	0	0	0	0
"butyrylcarnitine"	0	0	0	0	0	0	0	0	0	0
"C-glycosyltryptophan"	0	0	0	0	0	0	0	0	0	0
"carboxyethyl-GABA"	0	0	0	0	0	0	0	0	0	0
"carnitine"	0	0	0	0	0	0	0	0	0	0
"carnosine"	0	0	0	0	0	0	0	0	0	0
"catechol sulfate"	0	0	0	0	0	0	0	0	0	0
"choline"	0	0	0	0	0	0	0	0	0	0
"choline phosphate"	0	0	0	0	0	0	0	0	0	0
"citrate"	0	0	0	0	0	0	0	0	0	0
"citrulline"	0	0	0	0	0	0	0	0	0	0
"creatine"	0	0	0	0	0	0	0	0	0	0
"creatinine"	0	0	0	0	0	0	0	0	0	0
"cystathionine"	0	0	0	0	0	0	0	0	0	0
"cysteine"	0	0	0	0	0	0	0	0	0	0
"cysteine s-sulfate"	0	0	0	0	0	0	0	0	0	0
"cysteine-glutathione disulfide"	0	0	0	0	0	0	0	0	0	0
"cystine"	0	0	0	0	0	0	0	0	0	0
"cytidine"	7	0	0	1	0	0	3	2	0	1
"deoxycarnitine"	0	0	0	0	0	0	0	0	0	0
"dihomo-linolenate (20:3n3 or n6)"	0	0	0	0	0	0	0	0	0	0
"dimethylarginine (SDMA + ADMA)"	0	0	0	0	0	0	0	0	0	0
