"Total"	"5uM_10h"	"10uM_10h"	"Veh_24h"	"10uM_24h"	"UT_48h"	"Veh_48h"	"5uM_48h"	"Veh_72h"
"1,2-dilinoleoyl-GPC (18:2/18:2)"	18	1	5	1	2	1	3	3	2
"1,2-dioleoyl-GPC (18:1/18:1)*"	0	0	0	0	0	0	0	0	0
"1,2-dioleoyl-GPE (18:1/18:1)"	0	0	0	0	0	0	0	0	0
"1,2-dioleoyl-GPI (18:1/18:1)"	0	0	0	0	0	0	0	0	0
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*"	0	0	0	0	0	0	0	0	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0	0	0	0	0	0
"1,2-distearoyl-GPC (18:0/18:0)"	21	6	6	2	5	1	0	1	0
"1,2-distearoyl-GPG (18:0/18:0)"	14	5	1	1	4	1	0	2	0
"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*"	15	1	1	3	2	2	3	2	1
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	16	6	5	3	1	1	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	6	2	1	0	1	1	0	1	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	1	0	0	0	0	1	0	0	0
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	1	0	1	0	0	0	0	0	0
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	0	0	0	0	0	0	0	0
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	27	6	3	4	2	2	4	4	2
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	1	0	0	1	0	0	0	0	0
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	0	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPA (20:4)"	10	1	3	0	0	2	1	2	1
"1-arachidonoyl-GPC (20:4n6)*"	0	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPE (20:4n6)*"	0	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPI (20:4)*"	13	3	6	3	0	1	0	0	0
"1-arachidonylglycerol (20:4)"	4	0	0	0	0	2	2	0	0
"1-dihomo-linolenylglycerol (20:3)"	4	1	0	1	0	0	1	0	1
"1-docosahexaenoylglycerol (22:6)"	12	0	2	2	0	3	2	2	1
"1-lignoceroyl-GPC (24:0)"	20	4	5	6	1	2	2	0	0
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	0	0	0	0	0	0	0	0	0
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*"	0	0	0	0	0	0	0	0	0
"1-linoleoyl-GPC (18:2)"	1	0	0	0	0	1	0	0	0
"1-linoleoyl-GPE (18:2)*"	26	5	6	2	0	4	4	4	1
"1-linoleoylglycerol (18:2)"	9	0	1	1	3	2	1	0	1
"1-methylhistidine"	0	0	0	0	0	0	0	0	0
"1-methylimidazoleacetate"	3	0	0	0	1	1	0	1	0
"1-methylnicotinamide"	0	0	0	0	0	0	0	0	0
"1-myristoylglycerol (14:0)"	5	1	1	0	1	2	0	0	0
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	0	0	0	0	0	0	0	0	0
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0	0	0	0	0	0
"1-oleoyl-GPC (18:1)"	0	0	0	0	0	0	0	0	0
