"Total"	"5uM_10h"	"10uM_10h"	"Veh_24h"	"5uM_24h"	"10uM_24h"	"Veh_48h"	"5uM_48h"
"1,2-dilinoleoyl-GPC (18:2/18:2)"	18	1	5	1	3	2	3	3
"1,2-dioleoyl-GPC (18:1/18:1)*"	0	0	0	0	0	0	0	0
"1,2-dioleoyl-GPE (18:1/18:1)"	0	0	0	0	0	0	0	0
"1,2-dioleoyl-GPI (18:1/18:1)"	0	0	0	0	0	0	0	0
"1,2-dipalmitoleoyl-GPC (16:1/16:1)*"	0	0	0	0	0	0	0	0
"1,2-dipalmitoyl-GPC (16:0/16:0)"	0	0	0	0	0	0	0	0
"1,2-distearoyl-GPC (18:0/18:0)"	25	6	6	2	5	5	0	1
"1,2-distearoyl-GPG (18:0/18:0)"	16	5	1	1	3	4	0	2
"1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*"	15	1	1	3	3	2	3	2
"1-(1-enyl-oleoyl)-GPE (P-18:1)*"	17	6	5	3	2	1	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*"	5	2	1	0	0	1	0	1
"1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*"	1	0	1	0	0	0	0	0
"1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*"	0	0	0	0	0	0	0	0
"1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*"	28	6	3	4	5	2	4	4
"1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)"	1	0	0	1	0	0	0	0
"1-(1-enyl-stearoyl)-GPE (P-18:0)*"	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPA (20:4)"	7	1	3	0	0	0	1	2
"1-arachidonoyl-GPC (20:4n6)*"	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPE (20:4n6)*"	0	0	0	0	0	0	0	0
"1-arachidonoyl-GPI (20:4)*"	13	3	6	3	1	0	0	0
"1-arachidonylglycerol (20:4)"	2	0	0	0	0	0	2	0
"1-dihomo-linolenylglycerol (20:3)"	4	1	0	1	1	0	1	0
"1-docosahexaenoylglycerol (22:6)"	8	0	2	2	0	0	2	2
"1-lignoceroyl-GPC (24:0)"	20	4	5	6	2	1	2	0
"1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*"	0	0	0	0	0	0	0	0
"1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*"	0	0	0	0	0	0	0	0
"1-linoleoyl-GPC (18:2)"	0	0	0	0	0	0	0	0
"1-linoleoyl-GPE (18:2)*"	22	5	6	2	1	0	4	4
"1-linoleoylglycerol (18:2)"	8	0	1	1	2	3	1	0
"1-methylhistidine"	0	0	0	0	0	0	0	0
"1-methylimidazoleacetate"	3	0	0	0	1	1	0	1
"1-methylnicotinamide"	0	0	0	0	0	0	0	0
"1-myristoylglycerol (14:0)"	5	1	1	0	2	1	0	0
"1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*"	0	0	0	0	0	0	0	0
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*"	0	0	0	0	0	0	0	0
"1-oleoyl-GPC (18:1)"	0	0	0	0	0	0	0	0
"1-oleoyl-GPE (18:1)"	0	0	0	0	0	0	0	0
"1-oleoyl-GPI (18:1)*"	5	1	1	3	0	0	0	0
"1-oleoyl-GPS (18:1)"	1	0	0	1	0	0	0	0
"1-palmitoleoyl-GPC (16:1)*"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*"	1	0	0	0	1	0	0	0
"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)"	2	0	0	0	0	2	0	0
"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*"	0	0	0	0	0	0	0	0
"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)"	0	0	0	0	0	0	0	0
"1-palmitoyl-GPC (16:0)"	0	0	0	0	0	0	0	0
"1-palmitoyl-GPE (16:0)"	4	1	2	0	0	0	0	1
"1-palmitoylglycerol (16:0)"	0	0	0	0	0	0	0	0
"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)"	0	0	0	0	0	0	0	0
"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)"	0	0	0	0	0	0	0	0
"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)"	0	0	0	0	0	0	0	0
